GEWNAME,GEW,GEWNEU,GEWALT,GEWTYPN,GEWTYPDIFFN,BEFISCH,ANZAHL,ANZAHLH,AAL,ALAND,BARSCH,BLEI,GIEBEL,GRUENDL,HECHT,KAULBA,PLOETZE,RAPFEN,ROTFEDER,STINT,UKELEI,ZANDER,alias,GUESTER,MODERLIES,DREISTICH
Stadtspree,Spree,582,100,Fließgewässer,Fließgewässer,18,14,14,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_29.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_12.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_13.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_14.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_16.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_09.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_18.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_20.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_22.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_23.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_24.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_08.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_26.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_28.gif" Target="Bild">Foto Gefährdung</a>,582_s,,,
,,,,,,,,,,,,,,,,,,,,,,,582952_252,,,
,,,,,,,,,,,,,,,,,,,,,,,582953_254,,,
,,,,,,,,,,,,,,,,,,,,,,,5829533_255,,,
,,,,,,,,,,,,,,,,,,,,,,,582954_251,,,
Landwehrkanal,Landwehrkanal mit Flutgraben,58296,140,Fließgewässer,Kanal,7,11,11,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_29.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_12.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_13.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_14.gif" Target="Bild">Foto Gefährdung</a>,,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_18.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_20.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_22.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_23.gif" Target="Bild">Foto Gefährdung</a>,,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_26.gif" Target="Bild">Foto Gefährdung</a>,,58296_140,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_17.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_21.gif" Target="Bild">Foto Gefährdung</a>,
Westhafenkanal,Westhafenkanal,58298,170,Fließgewässer,Kanal,3,6,6,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_29.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_12.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_13.gif" Target="Bild">Foto Gefährdung</a>,,,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_18.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_22.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_23.gif" Target="Bild">Foto Gefährdung</a>,,,,,58298_170,,,
Berlin-Spandauer-Schifffahrtskanal,Berlin-Spandauer Schifffahrtskanal,582982,160,Fließgewässer,Kanal,5,11,11,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_29.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_12.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_13.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_14.gif" Target="Bild">Foto Gefährdung</a>,,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_18.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_22.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_23.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_24.gif" Target="Bild">Foto Gefährdung</a>,,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_28.gif" Target="Bild">Foto Gefährdung</a>,582982_160,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_17.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_15.gif" Target="Bild">Foto Gefährdung</a>
,,,,,,,,,,,,,,,,,,,,,,,582983_171,,,
Hohenzollernkanal,Berlin-Spandauer Schifffahrtskanal (Hohenzollernkanal),582984,080,Fließgewässer,Kanal,2,10,10,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_29.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_12.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_13.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_14.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_09.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_18.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_22.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_23.gif" Target="Bild">Foto Gefährdung</a>,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_24.gif" Target="Bild">Foto Gefährdung</a>,,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/fischbilder/2014/fischbilder_nachgewiesen/fisch_26.gif" Target="Bild">Foto Gefährdung</a>,,582984_080,,,
