flur,alias
15 - 20 m,F35__20459
15 - 20 m,F35__20478
15 - 20 m,F35__20561
15 - 20 m,F35__20590
15 - 20 m,F35__20610
15 - 20 m,F35__20617
15 - 20 m,F35__20716
10 - 15 m,F35__35644
10 - 15 m,F35__35651
10 - 15 m,F35__35653
10 - 15 m,F35__35658
10 - 15 m,F35__35663
10 - 15 m,F35__35689
10 - 15 m,F35__35699
10 - 15 m,F35__35738
10 - 15 m,F35__35789
10 - 15 m,F35__35797
10 - 15 m,F35__35826
10 - 15 m,F35__36467
10 - 15 m,F35__36470
10 - 15 m,F35__36476
10 - 15 m,F35__36857
10 - 15 m,F35__36947
7 - 10 m,F35__50016
7 - 10 m,F35__50155
7 - 10 m,F35__50228
7 - 10 m,F35__50364
7 - 10 m,F35__50584
7 - 10 m,F35__50659
7 - 10 m,F35__50798
7 - 10 m,F35__50964
7 - 10 m,F35__51015
7 - 10 m,F35__51029
7 - 10 m,F35__51128
7 - 10 m,F35__51150
7 - 10 m,F35__51155
7 - 10 m,F35__51163
7 - 10 m,F35__51165
7 - 10 m,F35__51174
7 - 10 m,F35__51188
7 - 10 m,F35__51210
7 - 10 m,F35__51225
7 - 10 m,F35__51236
7 - 10 m,F35__51237
7 - 10 m,F35__51240
7 - 10 m,F35__51259
7 - 10 m,F35__51270
7 - 10 m,F35__51274
7 - 10 m,F35__51282
7 - 10 m,F35__51323
7 - 10 m,F35__51334
7 - 10 m,F35__51357
7 - 10 m,F35__51362
7 - 10 m,F35__51369
7 - 10 m,F35__51385
7 - 10 m,F35__51448
7 - 10 m,F35__51655
7 - 10 m,F35__51690
7 - 10 m,F35__51692
7 - 10 m,F35__51701
7 - 10 m,F35__51707
7 - 10 m,F35__51726
7 - 10 m,F35__51729
7 - 10 m,F35__51763
7 - 10 m,F35__51782
7 - 10 m,F35__51787
7 - 10 m,F35__51846
7 - 10 m,F35__51856
7 - 10 m,F35__51866
7 - 10 m,F35__51907
4 - 7 m,F35__76311
4 - 7 m,F35__76446
4 - 7 m,F35__76491
4 - 7 m,F35__76500
4 - 7 m,F35__76511
4 - 7 m,F35__76512
4 - 7 m,F35__76515
4 - 7 m,F35__76516
4 - 7 m,F35__76534
4 - 7 m,F35__76540
4 - 7 m,F35__76544
4 - 7 m,F35__76552
4 - 7 m,F35__76564
4 - 7 m,F35__76572
