KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,17586,2674,0200010011000000,,,,,,,
1,Mischkanalisation,1,,82,78,89,52678,6651,0200010051000100,Ver- und Entsorgungseinrichtungen,,,,,,
1,Mischkanalisation,1,,86,80,92,71522,6970,0200010071000100,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,95,70,94,12771,2537,0200010071000200,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,16095,5839,0200010121000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,80,92,21083,3968,0200010131000100,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,95,70,94,15556,4665,0200010131000200,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,5428,2211,0200010741000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,80,92,49547,8984,0200010741000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,98,75,94,7367,4420,0200010751000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,86,80,92,85208,13455,0200010761000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,95,70,94,21793,2825,0200010941000100,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,8261,3075,0200010941000200,Mischnutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,3593,3034,0200010941000300,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,0,0,0,4036,1738,0200015021000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,5448,1011,0200015031000100,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,10443,3347,0200015031000200,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,10263,4245,0200015041000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,12350,10236,0200015051000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,82,78,89,16068,9907,0200015061000000,Ver- und Entsorgungseinrichtungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,1902,3404,0200015101000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,84,66,95,3115,5794,0200015111000000,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,86,80,92,8870,3922,0200016001000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,336144,8866,0200016011000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,170,Westhafenkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,357804,11846,0200016021000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,171,Westhafen,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
1,Mischkanalisation,1,,86,80,92,79308,23987,0200016031000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,70,68,95,12832,2809,0200016241000100,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,86,80,92,117820,13833,0200016241000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,80,46,87,3920,2298,0200016251000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,87,66,88,6337,1620,0200016251000200,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,Sportnutzungen,99,83,81,9564,2037,0200016251000300,Gemeinbedarfs- und Sondernutzungen,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,Sportnutzungen,68,51,81,31080,3291,0200016251000400,Gemeinbedarfs- und Sondernutzungen,175,Charlottenburger Verbindungskanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,56,45,67,6910,315,0200016251000500,Wohnnutzung,175,Charlottenburger Verbindungskanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,41092,,0200018501000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,37758,,0200018511000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,20550,,0200018521000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,64051,,0200018641000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,23267,,0200018651000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,22816,,0200018661000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,68750,,0200018671000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,40889,,0200018741000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,34933,,0200018751000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,42453,,0200018771000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,49252,973,0200019001000100,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,73,70,95,49258,13264,0200019001000200,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,86,78,95,3476,422,0200019001000300,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,86,78,95,1980,192,0200019001000400,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,52106,1441,0200019011000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche vegetationsfrei,71,67,81,20261,7946,0200019031000300,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,86590,4304,0200019031000400,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,86,78,95,3155,412,0200019031000900,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,76,70,89,63931,14685,0200019061000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,95,70,94,16098,7178,0200020161000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,18267,7746,0200020171000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,33745,10140,0200020181000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,35514,9278,0200020191000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,31335,10508,0200020201000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,Sportnutzungen,68,51,81,7904,5751,0200020211000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,7203,3698,0200020221000100,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Baumschule / Gartenbau,55,59,81,8248,3345,0200020221000200,,,,,,,
1,Mischkanalisation,1,,95,70,94,22246,8762,0200020231000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,94,75,92,14129,7129,0200020241000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,20729,8454,0200020251000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,98,75,94,14104,6877,0200020261000000,Wohnnutzung,,,,,,
