R,VERDUNSTUN,ROF,RI,KORR_NEU,RI_K,FLAECHE,NUTZUNG,VG,VGSTRASSE,FLUR,KANAL,KAN_BEB,KAN_VGU,KAN_STR,REGENJA,REGENSO,FELD_30,FELD_150,alias
206,383,0,206,1,206.3,20260,Kleingarten,15,98,4.5,0,0,0,0,541,304,13,10,0200010011000000
458,135,302,156,1,156.4,59329,Ver- und Entsorgungseinrichtungen,96,98,6.1,1,82,78,89,544,308,10,10,0200010051000100
467,117,352,115,1,115.2,78492,Gewerbe- und Industrienutzung großflächiger Einzelhandel,96,98,3.4,1,86,80,92,536,298,10,10,0200010071000100
413,171,272,140,1,140.4,15308,Wohnnutzung,73,98,5.8,1,95,70,94,536,300,10,12,0200010071000200
445,139,331,114,1,114,21934,Wohnnutzung,88,98,5.2,1,95,70,94,536,297,13,12,0200010121000000
463,120,349,114,1,114.3,25051,Gewerbe- und Industrienutzung großflächiger Einzelhandel,92,98,4.4,1,86,80,92,535,298,10,10,0200010131000100
438,145,322,116,1,115.8,20221,Wohnnutzung,83,98,4.5,1,95,70,94,535,297,13,12,0200010131000200
446,137,331,115,1,114.9,7639,Wohnnutzung,87,98,5,1,95,70,94,535,297,13,12,0200010741000100
459,122,343,116,1,116,58531,Gewerbe- und Industrienutzung großflächiger Einzelhandel,93,98,3.8,1,86,80,92,533,296,10,10,0200010741000200
444,138,332,111,1,111.2,11787,Wohnnutzung,85,98,4.1,1,98,75,94,533,296,13,12,0200010751000000
464,116,353,111,1,111.3,98663,Gewerbe- und Industrienutzung großflächiger Einzelhandel,97,98,3,1,86,80,92,532,296,10,10,0200010761000000
422,156,301,122,1,121.9,24618,Mischnutzungen,79,98,2.3,1,95,70,94,531,295,10,12,0200010941000100
454,125,359,95,1,95.4,11336,Mischnutzungen,90,98,2.3,1,95,70,94,531,295,10,12,0200010941000200
338,241,0,338,1,337.7,6627,Park / Grünfläche,35,98,2,0,0,0,0,531,295,10,12,0200010941000300
237,351,0,237,1,237.4,5774,Park / Grünfläche,8,98,2.5,0,0,0,0,540,303,13,10,0200015021000000
220,369,0,220,1,219.6,6459,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,0,98,4.9,0,0,0,0,540,303,13,10,0200015031000100
258,332,0,258,1,257.8,13790,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,0,98,4.5,0,0,0,0,541,304,13,10,0200015031000200
299,293,0,299,1,299.2,14508,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,0,98,3.7,0,0,0,0,543,306,10,10,0200015041000000
