B_LINK_ID,LAENGE,HS_EM_2009,SLKW,LLKW,KRAD,BUS,DTV,EM_NO2,EM_NOX,EM_PART,EM_PM10,EM_PM25,EM_BENZ,EM_CO,EM_CO2,EM_HC,EM_NM_HC,QUELLE,EINSTUFUNG,alias
1995,161,Otto-Suhr-Allee,710,2439,432,679,30872,3.98,21.58,0.59,2.75,1.76,1.12,88.03,7235.72,16.83,15.88,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,1894
1996,71,Wintersteinstr.,327,1032,183,536,13066,2.13,11.26,0.27,1.24,0.79,0.46,36.82,3284.91,7.01,6.61,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1895
1997,128,Wintersteinstr.,327,1032,183,536,13066,2.13,11.26,0.27,1.24,0.79,0.46,36.82,3284.91,7.01,6.61,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1896
2024,263,Lise-Meitner-Str.,303,818,141,525,10096,1.89,9.99,0.22,1.07,0.68,0.35,28.3,2697.76,5.35,5.05,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1923
2025,69,Gaußstr.,920,980,169,97,12102,1.46,9.62,0.27,1.31,0.83,0.42,33.61,2864.67,6.42,6.06,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1924
2026,405,Gaußstr.,920,980,169,97,12102,1.46,9.62,0.27,1.31,0.83,0.42,33.61,2864.67,6.42,6.06,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1925
2027,87,Sickingenbrücke,920,980,169,97,12102,1.42,9.44,0.27,1.26,0.8,0.42,33.45,2819.42,6.4,6.04,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1926
2028,224,Lise-Meitner-Str.,222,500,86,266,6176,1.05,5.7,0.13,0.62,0.4,0.21,17.24,1585.71,3.27,3.09,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,(weit) unterdurchschnittlich,1927
2034,97,Olbersstr.,428,633,120,514,8560,1.79,9.81,0.2,1.02,0.64,0.29,23.76,2423.92,4.48,4.23,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1933
2042,257,Kaiserin-Augusta-A,657,1482,263,319,18764,2.3,13.13,0.37,1.69,1.08,0.67,53.21,4345.75,10.17,9.6,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1941
2082,286,Leibnizstr.,235,1160,220,235,15682,1.77,9.5,0.27,1.3,0.83,0.58,45.18,3543.18,8.68,8.18,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,durchschnittlich,1968
2085,134,Otto-Suhr-Allee,650,2444,433,680,30930,3.99,21.52,0.59,2.8,1.78,1.12,88.3,7275.89,16.91,15.95,Daten der Verkehrserhebungen 2009 der Verkehrslenkung (VLB) Berlin,weit überdurchschnittlich,1971
