ID,NAME_STRAS,LAENGE_ABS,DTV,SLKW_ABS,LLKW_ABS,BUS_ABS,KRAD_ABS,N_BETROF,EM_PM10,EM_PM25,X009_GNO2,X009_GPM10,X009_GPM25,T2015_GNO2,T2015_GPM1,T2015_GPM2,T2020_GNO2,T2020_GPM1,T2020_GPM2,INDEX_NO2,INDEX_PM10,GESAMTINDEX,alias
11060,A100,1444,30394,1580,2553,30,152,0,1.15,0.78,21.71,24.7,16.92,18.12,24.01,16.15,13.25,23.1,14.82,0.54,0.62,1.16,10038
1882,Großer Stern,72,33520,737,2480,536,469,0,3.04,1.92,31.01,27.1,18.42,25.03,26.12,17.4,17.59,24.88,15.83,0.78,0.68,1.46,1664
1884,Großer Stern,125,33318,666,2466,500,466,0,2.76,1.77,30.19,26.96,18.32,24.56,26.05,17.35,17.29,24.82,15.79,0.75,0.67,1.42,1666
1888,Großer Stern,54,34268,822,2536,480,480,1,3.15,1.99,31.43,27.21,18.49,25.6,26.27,17.49,17.96,25.01,15.9,0.79,0.68,1.47,1670
1889,Großer Stern,101,33150,796,2453,464,464,0,2.99,1.89,29.07,26.6,18.1,23.59,25.7,17.15,16.67,24.53,15.63,0.73,0.67,1.4,1671
1891,Alt-Moabit,204,21006,483,1659,609,294,112,1.9,1.21,41.2,30.5,20.57,34.66,29.88,19.65,23.95,28.34,17.81,1.03,0.76,1.79,1673
1892,Alt-Moabit,209,21006,483,1659,609,294,84,1.9,1.21,37.88,29.62,19.98,31.83,28.96,19.08,22.07,27.51,17.32,0.95,0.74,1.69,1674
1894,Alt-Moabit,91,19536,469,1543,879,274,58,2.12,1.34,44.04,31.36,21.04,41.17,31.93,20.85,28.25,30.11,18.81,1.1,0.78,1.88,1675
1895,Alt-Moabit,100,19536,469,1543,879,274,47,2.12,1.34,39.06,29.85,20.09,35.82,30.04,19.71,24.66,28.43,17.85,0.98,0.75,1.73,1676
1896,Stromstr.,42,27614,497,2182,166,387,1,2.14,1.38,30.32,27.35,18.49,24.58,26.42,17.52,17.46,25.26,16.01,0.76,0.68,1.44,1677
