ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB2_EMNOX,MB2_EM_PM1,MB2_EMPM25,MB2_GNO2,MB2_GPM10,MB2_GPM25,alias
11060,A100,1444.84,40509,2106,3403,41,203,0,10.37,1.29,0.81,18.12,24.01,16.15,0,0,0,0,0,0,10038
1882,Großer Stern,72.17,36726,808,2718,551,514,0,18.61,3.19,1.9,25.03,26.12,17.4,0,0,0,0,0,0,1664
1884,Großer Stern,125.36,36033,721,2666,504,504,0,16.97,2.73,1.64,24.56,26.05,17.35,0,0,0,0,0,0,1666
1888,Großer Stern,54.88,36297,871,2686,472,508,1,18.37,3.12,1.86,25.6,26.27,17.49,0,0,0,0,0,0,1670
1889,Großer Stern,101.68,36751,882,2720,478,515,0,18.44,3.19,1.9,23.59,25.7,17.15,0,0,0,0,0,0,1671
1891,Alt-Moabit,204.74,24223,557,1914,606,339,112,13.1,1.95,1.17,34.66,29.88,19.65,0,0,0,0,0,0,1673
1892,Alt-Moabit,209.72,24223,557,1914,606,339,84,13.1,1.95,1.17,31.83,28.96,19.08,0,0,0,0,0,0,1674
1894,Alt-Moabit,91.59,26279,631,2076,893,368,58,15.67,2.35,1.4,37.42,31.16,20.37,-19.74,-11.57,-11.86,-9.11,-2.41,-2.27,1675
1895,Alt-Moabit,100.85,26279,631,2076,893,368,47,19.52,2.66,1.59,35.82,30.04,19.71,0,0,0,0,0,0,1676
1896,Stromstr.,42.93,34284,617,2708,171,480,1,14.56,2.61,1.56,24.58,26.42,17.52,0,0,0,0,0,0,1677
1897,Stromstr.,80.42,34990,630,2764,455,490,24,16.57,2.84,1.7,27.12,27.66,18.28,0,0,0,0,0,0,1678
1898,Stromstr.,96.01,34990,630,2764,455,490,84,16.09,2.79,1.67,41.6,33.88,22,-2.91,-1.77,-1.81,-1.41,-0.46,-0.43,1679
1899,Stromstr.,76.53,34508,621,2726,449,483,46,16.27,2.67,1.61,37.31,31.69,20.7,0,0,0,0,0,0,1680
1901,Stromstr.,288.31,27553,579,2177,165,386,254,11.91,1.97,1.19,36.07,31.31,20.49,0,0,0,0,0,0,1681
1903,An der Putlitzbrücke,40.75,30664,889,2422,61,429,3,13.47,2.32,1.39,21.32,27.9,17.83,0,0,0,0,0,0,1682
1904,Ellen-Epstein-Str.,63.56,9019,361,731,72,126,1,4.54,0.71,0.43,20.99,26.2,17.31,0,0,0,0,0,0,1683
1905,Ellen-Epstein-Str.,114.29,9019,361,731,72,126,2,4.54,0.71,0.43,21.92,26.71,17.43,0,0,0,0,0,0,1684
1906,Ellen-Epstein-Str.,117.59,9019,361,731,72,126,4,4.54,0.71,0.43,22.01,26.45,17.51,0,0,0,0,0,0,1685
1911,Ellen-Epstein-Str.,97.47,9019,361,731,72,126,2,4.54,0.71,0.43,22.83,27,17.63,0,0,0,0,0,0,1690
1912,Ellen-Epstein-Str.,24.34,9019,361,731,72,126,1,4.54,0.71,0.43,21.08,26.34,17.3,0,0,0,0,0,0,1691
1913,Ellen-Epstein-Str.,96.81,9019,361,731,72,126,5,4.54,0.71,0.43,22.66,26.84,17.65,0,0,0,0,0,0,1692
1915,,280.02,10201,449,826,163,143,6,5.72,0.87,0.52,20.77,26.17,17.15,0,0,0,0,0,0,1693
1916,,29.23,10201,449,826,163,143,2,5.72,0.87,0.52,33.31,30.65,19.82,0,0,0,0,0,0,1694
1918,Nordufer,312.93,9820,246,737,10,98,12,4.41,0.69,0.42,20.28,28.35,17.77,0,0,0,0,0,0,1695
1925,Friedrich-Krause-Ufer,33.73,10920,131,808,33,109,2,4.22,0.7,0.42,20.68,28.55,19.25,0,0,0,0,0,0,1699
1927,Friedrich-Krause-Ufer,156.48,10920,131,808,33,109,22,4.22,0.7,0.42,20.71,26.04,17.26,0,0,0,0,0,0,1700
1929,Friedrich-Krause-Ufer,43.6,10920,131,808,33,109,2,4.22,0.7,0.42,27.17,30.02,19.03,0,0,0,0,0,0,1702
1930,Friedrich-Krause-Ufer,157.57,10920,131,808,33,109,60,4.22,0.7,0.42,22.47,26.68,17.55,0,0,0,0,0,0,1703
1944,Alt-Moabit,76.82,23855,549,1885,620,334,53,13.02,1.93,1.16,29.93,28.14,18.61,0,0,0,0,0,0,1716
2120,Otto-Suhr-Allee,34.71,32761,688,2588,688,459,7,17.11,2.74,1.64,21.64,25.28,16.89,0,0,0,0,0,0,1881
2121,Otto-Suhr-Allee,267.79,32761,688,2588,688,459,270,17.11,2.74,1.64,36.39,30.76,20.17,0,0,0,0,0,0,1882
4260,A100,199.29,31555,1262,2651,32,158,0,7.56,0.94,0.59,20.5,25.08,16.7,0,0,0,0,0,0,3811
4261,A100,203.81,29850,1194,2507,30,149,0,7.16,0.89,0.56,20.22,24.99,16.65,0,0,0,0,0,0,3812
4479,Goerdelerdammbrücke,23.4,29109,931,2271,437,291,0,15.84,2.34,1.42,23.01,25.46,16.94,0,0,0,0,0,0,4003
4480,Goerdelerdammbrücke,21.9,29109,902,2358,553,408,0,16.5,2.38,1.44,23.08,25.53,16.98,0,0,0,0,0,0,4004
4483,Putlitzstr.,197.71,30664,644,2422,184,429,171,13.32,2.26,1.36,29.73,29.09,19.1,0,0,0,0,0,0,4007
4484,Putlitzstr.,56.68,30664,644,2422,184,429,7,13.32,2.26,1.36,20.58,25.87,17.09,0,0,0,0,0,0,4008
4485,Marchbrücke,68.03,11298,452,893,90,158,0,5.51,0.85,0.51,20.86,25.09,16.77,0,0,0,0,0,0,4009
4525,Ellen-Epstein-Str.,108.93,4689,188,380,75,66,4,2.45,0.35,0.21,21.53,26.36,17.28,0,0,0,0,0,0,4044
4526,Ellen-Epstein-Str.,33.81,4689,188,380,75,66,3,2.45,0.35,0.21,26.08,27.96,18.21,0,0,0,0,0,0,4045
4592,Birkenstr.,108.06,5658,57,419,17,57,76,1.8,0.25,0.15,20.84,25.63,17.02,0,0,0,0,0,0,4104
4594,Birkenstr.,112.4,5658,17,419,17,57,90,1.69,0.23,0.15,21.47,25.78,17.13,0,0,0,0,0,0,4105
5810,Sömmeringstr.,63.71,12364,309,977,532,173,13,7.78,1.07,0.64,22.67,25.48,17.01,0,0,0,0,0,0,5179
