alias,GFL_19_2,FL_GES,GFZ_2_LOR
01011102,,,
01022101,264075,98101,2.69
01022102,383816,170355,2.25
01022103,10635,19697,0.53
01022104,1067160,467028,2.28
01022105,306557,113860,2.69
01022106,752144,286466,2.62
01022201,628136,254766,2.46
01022203,339410,144964,2.34
01022204,383681,164379,2.33
01022206,215926,92755,2.32
01022207,370753,312475,1.18
01044101,980387,769019,1.27
01044202,794627,308824,2.57
04010102,8912,50891,0.17
04010103,367399,414670,0.88
04030518,513079,213661,2.4
04030519,284194,114240,2.48
04030620,460967,219553,2.09
04030621,230105,93029,2.47
04030622,834671,329729,2.53
04030623,951727,321031,2.96
