BLOCK_ANZAHL,BLOCK_GLEISTUNG,BLOCK_GLEW2013,BLOCK_EW2013,TYPKLAR,alias
1,20.0,0.18,110,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200010941000100
1,1602.24,400.56,4,Gewerbe- und Industriegebiet großflächiger Einzelhandel, geringe Bebauung,0200016011000000
2,291.18,,0,Gewerbe- und Industriegebiet großflächiger Einzelhandel, geringe Bebauung,0200016021000000
1,30.0,2.5,12,Gewerbe- und Industriegebiet großflächiger Einzelhandel, dichte Bebauung,0200016031000000
1,1.91,0.0015,1291,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200020181000000
1,0.0,0.0,1453,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200020191000000
1,3.8,0.0032,1173,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200020201000000
1,14.82,0.01,1032,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200020231000000
1,6.97,0.01,536,Dichte Blockbebauung geschlossener Hinterhof (1870er-1918), 5-6-geschossig,0200020401000000
3,19.06,0.03,626,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200020631000100
1,9.76,0.0054,1818,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0200031041000000
1,5.19,0.02,252,Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün, 3–6-geschossig,0200036031000000
2,48.82,0.25,190,Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün, 3–6-geschossig,0200036071000000
1,3.96,0.01,262,Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün, 3–6-geschossig,0200036081000000
1,1.1,0.004,274,Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün, 3–6-geschossig,0200036091000000
2,84.5,,,Verwaltung,0200041561000400
1,3.36,0.01,267,Kleingartenanlage allgemein,0700196011000200
1,20.8,,,Gewerbe- und Industriegebiet großflächiger Einzelhandel, geringe Bebauung,0700196801000300
3,4.93,0.01,414,Flächen der Ver- und Entsorgung,0700197421000200
4,33.12,0.23,142,Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün, 3–6-geschossig,0700210611000100
1,52.17,,,Flächen der Ver- und Entsorgung,0700210611000200
1,4.8,0.01,363,Geschlossene Blockbebauung Hinterhof (1870er-1918), 5-geschossig,0700221271000000
1,40.27,,0,Neubau-Schule (nach 1945),0700221581000200
