alias,PLR_NAME,PLR_ANZAHL,PLR_KFLAECHE,PLR_KFEW2013,PLR_EW2013
01011102,,,,,
01022101,,,,,
01022102,Beusselkiez,1,85.0,0.06,1350
01022103,Westhafen,1,4.6,0.38,12
01022104,Emdener Str.,4,91.2,0.03,2429
01022105,Zwinglistr.,1,112.5,0.06,1816
01022106,Elberfelder Str.,2,90.8,0.03,2358
01022201,Stephankiez,4,120.5,0.06,1934
01022203,Lübecker Str.,2,106.0,0.16,629
01022204,,,,,
01022206,Lüneburger Str.,5,294.48,0.32,897
01022207,Hansaviertel,4,19.22,0.01,1095
01044101,Rehberge,8,65.19,0.04,1395
01044202,Sparrplatz,1,33.0,0.03,891
04010102,Plötzensee,1,9.48,0.21,45
04010103,,,,,
04030518,,,,,
04030519,Kaiserin-Augusta-Allee,2,21.0,0.02,879
04030620,,,,,
04030621,,,,,
04030622,Richard-Wagner-Straße,2,26.0,0.03,810
04030623,Ernst-Reuter-Platz,1,7.0,0.01,392
