PLANNAME,EW2012,alias,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Großer Tiergarten,180,01011102,,,,,,,,
Huttenkiez,3142,01022101,12.63,3.94,23.11,74.01,-2.34,0.12,1.05,8.29
Beusselkiez,5849,01022102,13.56,4.56,26.31,63.11,-2.45,-0.26,0.32,0.62
Westhafen,220,01022103,,,,,,,,
Emdener Straße,17089,01022104,10.09,3.54,19.71,50.28,-2.69,-0.32,0.27,-2.59
Zwinglistraße,4887,01022105,11.48,3.49,25.58,67.79,-2.71,-1.03,-2.37,-4.48
Elberfelder Straße,10959,01022106,7.13,2.23,11.84,24.6,-1.01,0.07,-0.11,-2.65
Stephankiez,10000,01022201,10.29,3.09,19.76,54.25,-2.45,-0.53,-0.82,-2.67
Lübecker Straße,6751,01022203,12.61,4.45,26.17,56.63,-2.9,0.01,-1.18,-11.08
Thomasiusstraße,5677,01022204,7.95,2.68,11.87,25.57,-1.5,-0.04,-0.21,-2.7
Lüneburger Straße,3016,01022206,8.34,2.66,12.5,30.83,0.2,0.53,-0.75,-0.96
Hansaviertel,5366,01022207,6.52,1.91,9.63,27.35,-0.02,0.13,0.7,2.09
Rehberge,19210,01044101,11.9,3.88,21.24,56.99,-1.99,-0.23,0.96,1.55
Sparrplatz,15894,01044202,10.95,3.51,22.26,62.8,-2.63,-0.56,-0.33,-1.92
Plötzensee,753,04010102,5.42,2.71,5.18,36.96,0.27,1.18,-1.9,-17.81
Paul-Hertz-Siedlung,7489,04010103,12.65,5.33,24.08,58.16,-1.8,-0.72,1.06,-2.34
Tegeler Weg,9110,04030518,8.67,3.6,14.26,35.91,-1.67,-0.6,-0.16,-5.66
Kaiserin-Augusta-Allee,5406,04030519,8.76,3.68,15.3,44.71,-1.24,-0.88,-0.6,-3.1
Alt-Lietzow,8386,04030620,7.45,2.75,12.66,33.13,-1.24,-0.63,-1.3,-4.37
Spreestadt,2949,04030621,8.92,3.32,16.62,43.77,-1.97,-1.68,-0.46,-3.66
Richard-Wagner-Straße,10002,04030622,8.36,3.8,13.78,33.08,-1.47,-0.62,-0.34,-4.61
Ernst-Reuter-Platz,4314,04030623,8.27,3.79,15.46,37.95,-1.21,-0.44,-0.05,-2.1
