Bauwerksfunktion_schluessel,Bauwerksfunktion_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Name,ArchaeologischerTyp_schluessel,ArchaeologischerTyp_bezeichnung,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung,Bahnhofskategorie_schluessel,Bahnhofskategorie_bezeichnug,Art_schluessel,Art_bezeichnung
1001,Wasserturm,4200,Aus Katasterkarten digitalisiert,AX_Turm,F3__40,,,,,,,,,
9998,Nach Quellenlage nicht zu spezifizieren,9998,Nach Quellenlage nicht zu spezifizieren,AX_Turm,F3__79,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__87,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__88,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__89,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__90,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__91,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__93,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__97,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__99,,,,,,,,,
1333,Laufkran Brückenlaufkran,9998,Nach Quellenlage nicht zu spezifizieren,AX_BauwerkOderAnlageFuerIndustrieUndGewerbe,F3__104,,,,,,,,,
