ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4201
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4202
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4203
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4206
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4207
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4211
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4212
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4213
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4217
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4219
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4230
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4246
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4275
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4293
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4298
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4346
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4347
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4348
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4397
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4398
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4404
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4408
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4418
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4445
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4461
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4463
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4464
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4465
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4482
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4486
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4535
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4548
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4569
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4576
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4610
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4632
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4633
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4634
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4638
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4639
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4640
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4642
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4646
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4647
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4700
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4708
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4710
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4724
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4725
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4726
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4728
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4734
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4754
7003,Grenze der Gemarkung,AX_BesondereFlurstuecksgrenze,F9__4755
7106,Grenze der Gemeinde,AX_BesondereFlurstuecksgrenze,F9__4756
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4761
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4769
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4785
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4795
3000,Grenze der Flur,AX_BesondereFlurstuecksgrenze,F9__4799
