ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias,StelleZustaendigeDienststelle,Name
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1005,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1035,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1041,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1050,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1060,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1061,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1073,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1075,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1080,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1092,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1096,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1100,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1102,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1104,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1118,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1126,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1129,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1133,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1149,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1153,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__1160,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__1169,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1182,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1188,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1189,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1194,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1201,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1218,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1227,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1229,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1236,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1255,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1260,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1269,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1271,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1290,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1293,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1302,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1307,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1308,,
1110,Bundesautobahn,AX_KlassifizierungNachStrassenrecht,F8__1310,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1323,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1326,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1327,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1366,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1369,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1374,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1385,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1397,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1406,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1408,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__1410,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1412,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__1413,,
