AAA-Beschreibung,AmtlicheFlaeche,Flurstuecks_kennzOhneFolge,Gemarkung_name,Gemeindekennzeichen,ZeitpunktDerEntstehung,alias
AX_Flurstueck,519,110007010014300075,Charlottenburg,11000004,19300101,F10__10008
AX_Flurstueck,48,110007004018370254,Charlottenburg,11000004,18870101,F10__10009
AX_Flurstueck,2078,11000700600323____,Charlottenburg,11000004,20010101,F10__10036
AX_Flurstueck,1590,11000701000359____,Charlottenburg,11000004,19880101,F10__10058
AX_Flurstueck,782,110007004049250258,Charlottenburg,11000004,19060101,F10__10097
AX_Flurstueck,726,110007004002350010,Charlottenburg,11000004,19600101,F10__10111
AX_Flurstueck,1045,110007005037780168,Charlottenburg,11000004,18980101,F10__10114
AX_Flurstueck,829,110007010014050075,Charlottenburg,11000004,19300101,F10__10121
AX_Flurstueck,874,110007011023900110,Charlottenburg,11000004,19110101,F10__10174
AX_Flurstueck,1861,110007010001030015,Charlottenburg,11000004,19580101,F10__10180
AX_Flurstueck,485,110007005001630006,Charlottenburg,11000004,19610101,F10__10191
AX_Flurstueck,116739,11000701200475____,Charlottenburg,11000004,20120101,F10__10192
AX_Flurstueck,581,110007004043450241,Charlottenburg,11000004,19040101,F10__10199
AX_Flurstueck,1006,110007004041180241,Charlottenburg,11000004,19030101,F10__10247
AX_Flurstueck,1808,110007004002580027,Charlottenburg,11000004,19640101,F10__10259
AX_Flurstueck,778,110007005057600212,Charlottenburg,11000004,19070101,F10__10260
AX_Flurstueck,362,11000700600410____,Charlottenburg,11000004,20050101,F10__10265
AX_Flurstueck,774,110007004037740272,Charlottenburg,11000004,19000101,F10__10281
AX_Flurstueck,872,110007004041170241,Charlottenburg,11000004,19030101,F10__10297
AX_Flurstueck,1842,110007011028450128,Charlottenburg,11000004,19260101,F10__10316
AX_Flurstueck,2447,110007011000880009,Charlottenburg,11000004,19730101,F10__10346
AX_Flurstueck,631,11000701100460____,Charlottenburg,11000004,20130101,F10__10348
AX_Flurstueck,2342,11000701100362____,Charlottenburg,11000004,19880101,F10__10379
AX_Flurstueck,4360,110007011000920007,Charlottenburg,11000004,19650101,F10__10390
AX_Flurstueck,2504,11000700400543____,Charlottenburg,11000004,19780101,F10__10392
AX_Flurstueck,18,11000700500647____,Charlottenburg,11000004,19950101,F10__10403
AX_Flurstueck,1309,11000700600403____,Charlottenburg,11000004,20050101,F10__10415
AX_Flurstueck,9,11000700600322____,Charlottenburg,11000004,20010101,F10__10416
AX_Flurstueck,655,110007010014020075,Charlottenburg,11000004,19300101,F10__10430
AX_Flurstueck,68,11000701100416____,Charlottenburg,11000004,20090101,F10__10432
AX_Flurstueck,4871,11000700600265____,Charlottenburg,11000004,19870101,F10__10456
AX_Flurstueck,6490,11000700500611____,Charlottenburg,11000004,19890101,F10__10509
AX_Flurstueck,1005,110007004002400007,Charlottenburg,11000004,19520101,F10__10579
AX_Flurstueck,1038,110007005037740170,Charlottenburg,11000004,18980101,F10__10591
AX_Flurstueck,694,110007010014110075,Charlottenburg,11000004,19300101,F10__10597
AX_Flurstueck,1594,110007004002520001,Charlottenburg,11000004,19510101,F10__10598
AX_Flurstueck,799,110007005056470213,Charlottenburg,11000004,19070101,F10__10611
AX_Flurstueck,148,110007004002580026,Charlottenburg,11000004,19610101,F10__10616
AX_Flurstueck,1946,110007004002490002,Charlottenburg,11000004,19580101,F10__10618
AX_Flurstueck,339,11000700400666____,Charlottenburg,11000004,19790101,F10__10624
AX_Flurstueck,3578,110007005001610005,Charlottenburg,11000004,19690101,F10__10679
AX_Flurstueck,1,11000700500740____,Charlottenburg,11000004,20070101,F10__10680
AX_Flurstueck,149,11000701100179____,Charlottenburg,11000004,19770101,F10__10685
AX_Flurstueck,277,110007006000920013,Charlottenburg,11000004,19620101,F10__10693
AX_Flurstueck,30,11000701100439____,Charlottenburg,11000004,20110101,F10__10703
AX_Flurstueck,1261,110007011028830104,Charlottenburg,11000004,19280101,F10__10737
AX_Flurstueck,10317,110007004003260001,Charlottenburg,11000004,19520101,F10__10755
AX_Flurstueck,91,11000700500781____,Charlottenburg,11000004,20100101,F10__10769
AX_Flurstueck,2144,110007004057260240,Charlottenburg,11000004,19220101,F10__10774
AX_Flurstueck,27,110007004046470243,Charlottenburg,11000004,19050101,F10__10777
AX_Flurstueck,1619,11000700600233____,Charlottenburg,11000004,19840101,F10__10795
AX_Flurstueck,1297,11000701100337____,Charlottenburg,11000004,19840101,F10__10816
AX_Flurstueck,14651,11000701100361____,Charlottenburg,11000004,19880101,F10__10833
AX_Flurstueck,605,110007004049730236,Charlottenburg,11000004,19070101,F10__10834
AX_Flurstueck,260,110007006000920015,Charlottenburg,11000004,19620101,F10__10837
AX_Flurstueck,1769,11000701000489____,Charlottenburg,11000004,20120101,F10__10847
AX_Flurstueck,451,11000701100444____,Charlottenburg,11000004,20110101,F10__10860
AX_Flurstueck,79,11000700400552____,Charlottenburg,11000004,19780101,F10__10875
AX_Flurstueck,1089,110007004043440241,Charlottenburg,11000004,19040101,F10__10879
AX_Flurstueck,4967,11000701000415____,Charlottenburg,11000004,19990101,F10__10880
AX_Flurstueck,966,110007005037760168,Charlottenburg,11000004,18980101,F10__10883
AX_Flurstueck,12280,11000700500750____,Charlottenburg,11000004,20080101,F10__10912
AX_Flurstueck,680,110007011023780109,Charlottenburg,11000004,19100101,F10__10919
AX_Flurstueck,682,110007011025370126,Charlottenburg,11000004,19120101,F10__10923
AX_Flurstueck,1021,11000701100342____,Charlottenburg,11000004,19840101,F10__10945
AX_Flurstueck,416,110007005040750209,Charlottenburg,11000004,18990101,F10__10969
AX_Flurstueck,21659,110007011000950002,Charlottenburg,11000004,19630101,F10__10973
AX_Flurstueck,997,11000700500794____,Charlottenburg,11000004,20110101,F10__10975
AX_Flurstueck,690,11000700401240____,Charlottenburg,11000004,20130101,F10__11005
AX_Flurstueck,415,110007004049300258,Charlottenburg,11000004,19060101,F10__11013
AX_Flurstueck,510,110007010014620075,Charlottenburg,11000004,19300101,F10__11017
AX_Flurstueck,2390,11000700500508____,Charlottenburg,11000004,19880101,F10__11024
AX_Flurstueck,5577,110007006000920010,Charlottenburg,11000004,19600101,F10__11025
AX_Flurstueck,687,11000700600398____,Charlottenburg,11000004,20050101,F10__11033
AX_Flurstueck,458,11000700500531____,Charlottenburg,11000004,19880101,F10__11042
AX_Flurstueck,847,110007010000750003,Charlottenburg,11000004,19600101,F10__11048
AX_Flurstueck,181,11000700400378____,Charlottenburg,11000004,19750101,F10__11055
AX_Flurstueck,633,110007010014540075,Charlottenburg,11000004,19300101,F10__11057
AX_Flurstueck,339,110007004002520004,Charlottenburg,11000004,19510101,F10__11060
AX_Flurstueck,1748,11000701000318____,Charlottenburg,11000004,19880101,F10__11063
AX_Flurstueck,2248,11000700400979____,Charlottenburg,11000004,19860101,F10__11084
AX_Flurstueck,593,110007005001610004,Charlottenburg,11000004,19650101,F10__11085
AX_Flurstueck,1359,11000700500800____,Charlottenburg,11000004,20120101,F10__11089
AX_Flurstueck,396,11000700500655____,Charlottenburg,11000004,19950101,F10__11092
AX_Flurstueck,59,11000700500693____,Charlottenburg,11000004,19990101,F10__11107
AX_Flurstueck,3139,110007011001280002,Charlottenburg,11000004,19510101,F10__11116
AX_Flurstueck,6611,11000701100413____,Charlottenburg,11000004,20090101,F10__11125
AX_Flurstueck,520,11000700600394____,Charlottenburg,11000004,20050101,F10__11126
AX_Flurstueck,91,110007006000920011,Charlottenburg,11000004,19600101,F10__11133
AX_Flurstueck,2812,11000700500632____,Charlottenburg,11000004,19940101,F10__11140
AX_Flurstueck,74,110007005038860217,Charlottenburg,11000004,18980101,F10__11148
AX_Flurstueck,5398,11000701100348____,Charlottenburg,11000004,19850101,F10__11157
AX_Flurstueck,680,110007010014340075,Charlottenburg,11000004,19300101,F10__11178
AX_Flurstueck,696,11000701000490____,Charlottenburg,11000004,20120101,F10__11179
AX_Flurstueck,14401,11000700500780____,Charlottenburg,11000004,20100101,F10__11189
AX_Flurstueck,649,110007010014530075,Charlottenburg,11000004,19300101,F10__11193
AX_Flurstueck,4332,11000700600421____,Charlottenburg,11000004,20070101,F10__11203
AX_Flurstueck,8060,11000700600426____,Charlottenburg,11000004,20080101,F10__11211
AX_Flurstueck,726,11000700400377____,Charlottenburg,11000004,19750101,F10__11216
AX_Flurstueck,484,11000700400553____,Charlottenburg,11000004,19780101,F10__11219
AX_Flurstueck,494,110007004002570004,Charlottenburg,11000004,19560101,F10__11226
AX_Flurstueck,6039,11000700600320____,Charlottenburg,11000004,20010101,F10__11231
AX_Flurstueck,1906,110007011001080001,Charlottenburg,11000004,19520101,F10__11234
AX_Flurstueck,93,110007004002580024,Charlottenburg,11000004,19610101,F10__11251
AX_Flurstueck,190,11000700600435____,Charlottenburg,11000004,20110101,F10__11262
AX_Flurstueck,364,11000700500749____,Charlottenburg,11000004,20080101,F10__11272
AX_Flurstueck,406,110007004047800240,Charlottenburg,11000004,19060101,F10__11274
AX_Flurstueck,334,11000701100459____,Charlottenburg,11000004,20130101,F10__11295
AX_Flurstueck,875,110007011024780122,Charlottenburg,11000004,19110101,F10__11304
AX_Flurstueck,9418,110007011001210009,Charlottenburg,11000004,19650101,F10__11320
AX_Flurstueck,164,11000700500746____,Charlottenburg,11000004,20080101,F10__11322
AX_Flurstueck,136,11000700600232____,Charlottenburg,11000004,19840101,F10__11324
AX_Flurstueck,956,110007005025040164,Charlottenburg,11000004,18930101,F10__11326
AX_Flurstueck,11936,110007012000690013,Charlottenburg,11000004,19710101,F10__11329
AX_Flurstueck,386,11000700500754____,Charlottenburg,11000004,20070101,F10__11333
AX_Flurstueck,60,110007005002080005,Charlottenburg,11000004,19700101,F10__11335
