AnzahlDerObergeschosse,Bauart_schluessel,Bauart_bezeichnung,AAA-Beschreibung,alias,LageZurErdoberflaeche_schluessel,LageZurErdoberflaeche_bezeichnung,Gebaeudefunktion_schluessel,Gebaeudefunktion_bezeichnung,AnzahlDerUntergeschosse,Gebaeudekennzeichen,Beschreibung_schluessel,Beschreibung_bezeichnung,Strassen_schluessel,Strassen_name,PseudoNummer,LaufendeNummer,Bauweise_schluessel,Bauweise_bezeichnung,Hausnummer,Name,Hochhaus,Zustand_schluessel,Zustand_bezeichnung
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13003,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13006,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13029,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13037,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13054,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13063,,,,,,,,,,,,,,,,,,,
4,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13068,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13069,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13093,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13098,,,,,,,,,,,,,,,,,,,
11,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13116,,,,,,,,,,,,,,,,,,,
6,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13122,,,,,,,,,,,,,,,,,,,
,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13161,,,,,,,,,,,,,,,,,,,
,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13173,,,,,,,,,,,,,,,,,,,
5,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13196,,,,,,,,,,,,,,,,,,,
6,2610,Durchfahrt im Gebäude,AX_Bauteil,F11__13231,,,,,,,,,,,,,,,,,,,
1,1100,Geringergeschossiger Gebäudeteil,AX_Bauteil,F11__13271,,,,,,,,,,,,,,,,,,,
3,2500,Auskragende/zurückspringende Geschosse,AX_Bauteil,F11__13276,1400,Aufgeständert,,,,,,,,,,,,,,,,,
