Beschaffenheit_schluessel,Beschaffenheit_bezeichnung,AAA-Beschreibung,alias
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11797
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11799
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11804
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11834
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11839
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11841
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11864
4000,Trennlinie nicht eindeutig festgelegt,AX_BesondereGebaeudelinie,F12__11879
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11881
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11897
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11911
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11917
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11927
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11932
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11934
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11947
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11955
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11963
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11970
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11973
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__11995
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12009
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12012
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12018
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12038
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12048
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12064
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12081
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12109
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12130
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12160
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12176
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12186
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12191
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12195
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12248
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12249
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12260
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12264
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12272
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12303
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12345
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12346
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12376
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12402
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12419
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12430
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12440
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12442
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12452
4000,Trennlinie nicht eindeutig festgelegt,AX_BesondereGebaeudelinie,F12__12463
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12487
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12499
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12500
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12502
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12511
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12513
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12515
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__12533
