AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Zustand_schluessel,Lagergut_schluessel,Lagergut_bezeichnung,Zustand_bezeichnung,Name,Bahnkategorie_schluessel,Bahnkategorie_bezeichnung
AX_Wohnbauflaeche,F14__27,,,,,,,,,
AX_Wohnbauflaeche,F14__33,,,,,,,,,
AX_Wohnbauflaeche,F14__373,,,,,,,,,
AX_Wohnbauflaeche,F14__461,,,,,,,,,
AX_Wohnbauflaeche,F14__482,,,,,,,,,
AX_Wohnbauflaeche,F14__501,,,,,,,,,
AX_Wohnbauflaeche,F14__510,,,,,,,,,
AX_Wohnbauflaeche,F14__667,,,,,,,,,
AX_Wohnbauflaeche,F14__683,,,,,,,,,
AX_Wohnbauflaeche,F14__711,,,,,,,,,
AX_Wohnbauflaeche,F14__742,,,,,,,,,
AX_Wohnbauflaeche,F14__767,,,,,,,,,
AX_Wohnbauflaeche,F14__823,,,,,,,,,
AX_Wohnbauflaeche,F14__865,,,,,,,,,
AX_Wohnbauflaeche,F14__926,,,,,,,,,
AX_Wohnbauflaeche,F14__929,,,,,,,,,
AX_Wohnbauflaeche,F14__962,,,,,,,,,
AX_Wohnbauflaeche,F14__963,,,,,,,,,
AX_Wohnbauflaeche,F14__1008,,,,,,,,,
AX_Wohnbauflaeche,F14__1013,,,,,,,,,
AX_Wohnbauflaeche,F14__1077,,,,,,,,,
AX_Wohnbauflaeche,F14__1079,,,,,,,,,
AX_Wohnbauflaeche,F14__1082,,,,,,,,,
AX_Wohnbauflaeche,F14__1122,,,,,,,,,
AX_Wohnbauflaeche,F14__1133,,,,,,,,,
AX_Wohnbauflaeche,F14__1134,,,,,,,,,
AX_Wohnbauflaeche,F14__1135,,,,,,,,,
AX_Wohnbauflaeche,F14__1143,,,,,,,,,
AX_Wohnbauflaeche,F14__1153,,,,,,,,,
AX_Wohnbauflaeche,F14__1166,,,,,,,,,
AX_Wohnbauflaeche,F14__1196,,,,,,,,,
AX_Wohnbauflaeche,F14__1200,,,,,,,,,
AX_Wohnbauflaeche,F14__1212,,,,,,,,,
AX_Wohnbauflaeche,F14__1236,,,,,,,,,
AX_Wohnbauflaeche,F14__1241,,,,,,,,,
AX_Wohnbauflaeche,F14__1257,,,,,,,,,
AX_Wohnbauflaeche,F14__1282,,,,,,,,,
AX_Wohnbauflaeche,F14__1283,,,,,,,,,
AX_Wohnbauflaeche,F14__1293,,,,,,,,,
AX_Wohnbauflaeche,F14__1309,,,,,,,,,
AX_Wohnbauflaeche,F14__1322,,,,,,,,,
AX_Wohnbauflaeche,F14__1345,,,,,,,,,
AX_Wohnbauflaeche,F14__1352,,,,,,,,,
AX_Wohnbauflaeche,F14__1365,,,,,,,,,
AX_Wohnbauflaeche,F14__1369,,,,,,,,,
AX_Wohnbauflaeche,F14__1375,,,,,,,,,
AX_Wohnbauflaeche,F14__1383,,,,,,,,,
AX_Wohnbauflaeche,F14__1390,,,,,,,,,
AX_Wohnbauflaeche,F14__1446,,,,,,,,,
AX_Wohnbauflaeche,F14__1509,,,,,,,,,
AX_Wohnbauflaeche,F14__1517,,,,,,,,,
AX_Wohnbauflaeche,F14__1551,,,,,,,,,
AX_Wohnbauflaeche,F14__1569,,,,,,,,,
