AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__9991
AX_Vegetationsmerkmal,9998,Laubbaum,F7__9993
AX_Vegetationsmerkmal,9998,Laubbaum,F7__9995
AX_Vegetationsmerkmal,9998,Laubbaum,F7__9996
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10016
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10021
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10033
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10044
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10045
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10050
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10055
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10059
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10063
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10065
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10069
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10071
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10077
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10079
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10085
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10094
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10099
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10103
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10105
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10106
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10110
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10116
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10133
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10142
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10144
AX_Vegetationsmerkmal,9998,Nadelbaum,F7__10151
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10156
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10157
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10158
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10159
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10176
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10181
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10197
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10201
AX_Vegetationsmerkmal,9998,Nadelbaum,F7__10202
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10203
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10208
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10213
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10214
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10215
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10219
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10237
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10248
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10252
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10255
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10256
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10260
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10270
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10286
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10303
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10312
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10320
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10339
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10341
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10354
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10370
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10374
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10381
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10396
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10399
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10427
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10447
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10448
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10452
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10454
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10460
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10466
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10474
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10478
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10479
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10484
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10486
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10488
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10491
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10506
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10507
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10517
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10530
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10533
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10534
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10538
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10542
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10563
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10570
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10582
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10583
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10592
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10593
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10601
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10618
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10619
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10624
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10626
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10656
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10668
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10679
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10680
AX_Vegetationsmerkmal,9998,Laubbaum,F7__10690
