StandortNr,NameNr,Art_Dtsch,Art_Bot,Gattung,Pflanzjahr,Standalter,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Kennzeich,KroneDurch
Plakette n.l.,Landwehrkanal,Götterbaum,Ailanthus altissima,Ailanthus,1989,27,67,8,Charlottenburg-Wilmersdorf,WSA,F10__1003,,
,Landwehrkanal,Götterbaum,Ailanthus altissima,Ailanthus,1994,22,91,6,Charlottenburg-Wilmersdorf,WSA,F10__1004,,
Plakette n.l.,Landwehrkanal,Götterbaum,Ailanthus altissima,Ailanthus,1951,65,155,13,Charlottenburg-Wilmersdorf,WSA,F10__1005,,
,Landwehrkanal,Ahorn,Acer spec.,Acer,1962,54,169,12,Charlottenburg-Wilmersdorf,WSA,F10__1006,,
Plakette n.l.,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,1976,40,133,15,Charlottenburg-Wilmersdorf,WSA,F10__1007,,
,Landwehrkanal,Schwarzer Holunder,Sambucus nigra,Sambucus,2000,16,39,5,Charlottenburg-Wilmersdorf,WSA,F10__1008,,
,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,1992,24,50,12,Charlottenburg-Wilmersdorf,WSA,F10__1009,,
Plakette n.l.,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,1990,26,54,10,Charlottenburg-Wilmersdorf,WSA,F10__1010,,
,Landwehrkanal,Götterbaum,Ailanthus altissima,Ailanthus,1989,27,55,6,Charlottenburg-Wilmersdorf,WSA,F10__1011,,
Plakette n.l.,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1969,47,104,14,Charlottenburg-Wilmersdorf,WSA,F10__1012,,
10,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1957,59,141,14,Charlottenburg-Wilmersdorf,WSA,F10__1013,,
Plakette n.l.,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1997,19,32,5,Charlottenburg-Wilmersdorf,WSA,F10__1014,,
Plakette n.l.,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1994,22,37,7,Charlottenburg-Wilmersdorf,WSA,F10__1015,,
11,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1974,42,93,12,Charlottenburg-Wilmersdorf,WSA,F10__1016,,
,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1997,19,31,6,Charlottenburg-Wilmersdorf,WSA,F10__1017,,
Plakette n.l.,Landwehrkanal,Silberweide,Salix alba,Salix,1947,69,742,20,Charlottenburg-Wilmersdorf,WSA,F10__1018,,
,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,2002,14,30,5,Charlottenburg-Wilmersdorf,WSA,F10__1019,,
13,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1972,44,102,13,Charlottenburg-Wilmersdorf,WSA,F10__1020,,
Plakette n.l.,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,2000,16,34,6,Charlottenburg-Wilmersdorf,WSA,F10__1021,,
15,Landwehrkanal,Trauerweide,Salix alba Tristis',Salix,1927,89,276,20,Charlottenburg-Wilmersdorf,WSA,F10__1022,,
14,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1978,38,95,14,Charlottenburg-Wilmersdorf,WSA,F10__1023,,
16,Landwehrkanal,Trauerweide,Salix alba Tristis',Salix,1942,74,228,12,Charlottenburg-Wilmersdorf,WSA,F10__1024,,
N270,Landwehrkanal,Kaukasische Flügelnuss,Pterocaria fraxinifolia,Pterocaria,1990,26,164,12,Charlottenburg-Wilmersdorf,WSA,F10__1025,,
20,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1967,49,118,13,Charlottenburg-Wilmersdorf,WSA,F10__1026,,
Plakette n.l.,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,1950,66,156,14,Charlottenburg-Wilmersdorf,WSA,F10__1027,,
21,Landwehrkanal,Graupappel,Populus x canescens,Populus,1917,99,509,23,Charlottenburg-Wilmersdorf,WSA,F10__1028,,
22,Landwehrkanal,Graupappel,Populus x canescens,Populus,1990,26,58,9,Charlottenburg-Wilmersdorf,WSA,F10__1029,,
23,Landwehrkanal,Graupappel,Populus x canescens,Populus,1969,47,107,16,Charlottenburg-Wilmersdorf,WSA,F10__1030,,
24,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1982,34,73,10,Charlottenburg-Wilmersdorf,WSA,F10__1031,,
25,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1977,39,87,14,Charlottenburg-Wilmersdorf,WSA,F10__1032,,
Plakette n.l.,Landwehrkanal,Graupappel,Populus x canescens,Populus,1957,59,142,22,Charlottenburg-Wilmersdorf,WSA,F10__1033,,
Plakette n.l.,Landwehrkanal,Graupappel,Populus x canescens,Populus,1957,59,145,22,Charlottenburg-Wilmersdorf,WSA,F10__1034,,
327,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1988,28,62,11,Charlottenburg-Wilmersdorf,WSA,F10__1035,,
30,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1976,40,88,15,Charlottenburg-Wilmersdorf,WSA,F10__1036,,
Plakette n.l.,Landwehrkanal,Feld-Ulme,Ulmus minor,Ulmus,1982,34,77,13,Charlottenburg-Wilmersdorf,WSA,F10__1037,,
31,Landwehrkanal,Graupappel,Populus x canescens,Populus,1927,89,243,18,Charlottenburg-Wilmersdorf,WSA,F10__1038,,
32,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1970,46,104,12,Charlottenburg-Wilmersdorf,WSA,F10__1039,,
35,Landwehrkanal,Esche,Fraxinus spec.,Fraxinus,1978,38,81,11,Charlottenburg-Wilmersdorf,WSA,F10__1040,,
Plakette n.l.,Landwehrkanal,Bergahorn,Acer pseudoplatanus,Acer,1977,39,87,13,Charlottenburg-Wilmersdorf,WSA,F10__1041,,
36,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1966,50,110,13,Charlottenburg-Wilmersdorf,WSA,F10__1042,,
Plakette n.l.,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1988,28,49,13,Charlottenburg-Wilmersdorf,WSA,F10__1043,,
,Landwehrkanal,Berliner Lorbeer-Pappel,Populus berolinensis,Populus,2002,14,30,5,Charlottenburg-Wilmersdorf,WSA,F10__1044,,
Plakette n.l.,Landwehrkanal,Bruchweide,Salix fragilis,Salix,2002,14,31,6,Charlottenburg-Wilmersdorf,WSA,F10__1045,,
Plakette n.l.,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1997,19,41,7,Charlottenburg-Wilmersdorf,WSA,F10__1046,,
N322,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1966,50,118,13,Charlottenburg-Wilmersdorf,WSA,F10__1047,,
Plakette n.l.,Landwehrkanal,Sandbirke,Betula pendula,Betula,1967,49,117,18,Charlottenburg-Wilmersdorf,WSA,F10__1048,,
39,Landwehrkanal,Gemeine Esche,Fraxinus excelsior,Fraxinus,1979,37,80,10,Charlottenburg-Wilmersdorf,WSA,F10__1049,,
,Landwehrkanal,Traubeneiche,Quercus petraea,Quercus,1997,19,41,6,Charlottenburg-Wilmersdorf,WSA,F10__1050,,
37,Landwehrkanal,Esche,Fraxinus spec.,Fraxinus,1962,54,122,14,Charlottenburg-Wilmersdorf,WSA,F10__1051,,
