BEZIRK,ORTSTEIL,STRASSE,VON,BIS,LAENGE,BREITE,FB,DAT_FB,alias,GW,RW,DAT_GW_RW,LAGE
Mitte,Moabit,Siemensstraee,Unionplatz,Waldstrate,100,0,x,2017-08-14T00:00:00,F29__24,,,,
Mitte,Moabit,Erna Samuel Straee,Rathenower Straae,BeusselstraSe,800,0,x,2019-03-18T00:00:00,F29__50,x,x,2017-03-18T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Cauerstrane,Otto-Suhr-Allee,Einsteinufer,537,0,x,2018-07-24T00:00:00,F29__121,,,,
Charlottenburg-Wilmersdorf,Charlottenburg,Englische Str.,Salzufer,Wegelystr.,300,0,x,2020-04-23T00:00:00,F29__410,x,,2018-04-23T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Gutenbergstr.,Nr. 6,Wegelystr.,250,0,x,2020-04-23T00:00:00,F29__411,x,,2018-04-23T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Gaurstr.,Sickingenbrucke,Lise-Meitner-Str.,500,2.5,x,2017-10-29T00:00:00,F29__439,,,,Nirdl. Radweg
Charlottenburg-Wilmersdorf,Charlottenburg,Gaurstr.,Sikingenbrbcke,Lise-Meitner-Str.,500,2,x,2017-10-29T00:00:00,F29__440,,,,nirdl. Parkh-fen
Mitte,Hansaviertel,Lessingstrale,Altonaer Str.,Flensburger Str.,200,0,,,F29__476,x,x,2016-05-05T00:00:00,Ostseite
Mitte,Hansaviertel,Lessingstrale,Lessingbrrcke,ggs. Flensburger Str.,200,0,,2018-10-01T00:00:00,F29__486,x,x,2016-10-01T00:00:00,Westseite
Mitte,Moabit,Erna Samuel Straee,Rathenower Straae,BeusselstraSe,800,0,x,2019-03-18T00:00:00,F29__490,x,x,2017-03-18T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Englische Str.,Salzufer,Wegelystr.,300,0,x,2020-04-23T00:00:00,F29__607,x,,2018-04-23T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Gutenbergstr.,Nr. 6,Wegelystr.,250,0,x,2020-04-23T00:00:00,F29__608,x,,2018-04-23T00:00:00,
Charlottenburg-Wilmersdorf,Charlottenburg,Shmmeringstr.,Nr. 24/26,Nordhauser Str.,90,4,,,F29__618,x,,2017-12-05T00:00:00,Nstl. Gehweg
Charlottenburg-Wilmersdorf,Charlottenburg,Shmmeringstr.,Nr. 2,Quedlinburger Str.,250,4,,,F29__619,x,,2018-06-11T00:00:00,Qstl. Gehweg
Charlottenburg-Wilmersdorf,Charlottenburg,FGa Sommeringstr.,Nordhauser Str.,,13,13,,,F29__627,x,,2019-12-17T00:00:00,s
Charlottenburg-Wilmersdorf,Charlottenburg,Gaurstr.,Sickingenbrucke,Lise-Meitner-Str.,500,4,,,F29__628,x,,2017-10-29T00:00:00,nirdl. Gehweg
Mitte,Hansaviertel,Lessingstrale,Altonaer Str.,Flensburger Str.,200,0,,,F29__653,x,x,2016-05-05T00:00:00,Ostseite
Mitte,Hansaviertel,Lessingstrale,Lessingbrrcke,ggs. Flensburger Str.,200,0,,2018-10-01T00:00:00,F29__659,x,x,2016-10-01T00:00:00,Westseite
Mitte,Moabit,Erna Samuel Straee,Rathenower Straae,BeusselstraSe,800,0,x,2019-03-18T00:00:00,F29__663,x,x,2017-03-18T00:00:00,
