BEZIRK,BRW,NUTZUNG,GFZ,STICHTAG,BEITRAGSZUSTAND,alias,ANWERT
Mitte,490.0,W - Wohngebiet,0.6,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1005,
Charlottenburg-Wilmersdorf,3300.0,M1 - Kerngebiet,4.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1101,
Mitte,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1255,N
Mitte,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1261,N
Charlottenburg-Wilmersdorf,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1500,
Charlottenburg-Wilmersdorf,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1503,
Charlottenburg-Wilmersdorf,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1506,
Charlottenburg-Wilmersdorf,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1509,
Mitte,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1514,
Mitte,740.0,W - Wohngebiet,1,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1581,
Mitte,460.0,W - Wohngebiet,1.2,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1636,
Mitte,120.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1637,
Mitte,490.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1832,
Mitte,550.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1846,
Mitte,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1849,
Mitte,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1856,
Mitte,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1858,
Charlottenburg-Wilmersdorf,600.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1862,
Charlottenburg-Wilmersdorf,650.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1872,
Mitte,220.0,G - Gewerbe,,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1873,
Charlottenburg-Wilmersdorf,650.0,W - Wohngebiet,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,1875,
Charlottenburg-Wilmersdorf,460.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2007,
Mitte,460.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2009,
Charlottenburg-Wilmersdorf,550.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2024,
Mitte,870.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2038,
Charlottenburg-Wilmersdorf,920.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2041,
Charlottenburg-Wilmersdorf,970.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2044,
Mitte,970.0,G - Gewerbe,2.5,2002-01-01T00:00:00,Beitragsfrei nach BauGB,2046,
