BEZIRK,BRW,NUTZUNG,GFZ,STICHTAG,BEITRAGSZUSTAND,alias,ANWERT,VERFAHRENSART
Mitte,420.0,W - Wohngebiet,0.6,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1005,,
Charlottenburg-Wilmersdorf,2400.0,M1 - Kerngebiet,4.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1101,,
Mitte,420.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1255,N,San
Mitte,420.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1261,N,San
Charlottenburg-Wilmersdorf,100.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1500,,
Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1503,,
Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1506,,
Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1509,,
Mitte,90.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1514,,
Mitte,620.0,W - Wohngebiet,1,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1581,,
Mitte,330.0,W - Wohngebiet,1.2,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1636,,
Mitte,100.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1637,,
Mitte,340.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1832,,
Mitte,380.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1846,,
Mitte,420.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1849,,
Mitte,460.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1856,,
Mitte,420.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1858,,
Charlottenburg-Wilmersdorf,420.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1862,,
Charlottenburg-Wilmersdorf,500.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1872,,
Mitte,170.0,G - Gewerbe,,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1873,,
Charlottenburg-Wilmersdorf,460.0,W - Wohngebiet,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,1875,,
Charlottenburg-Wilmersdorf,270.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2007,,
Mitte,270.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2009,,
Mitte,270.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2009,,
Charlottenburg-Wilmersdorf,310.0,G - Gewerbe,2,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2024,,
Mitte,550.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2038,,
Charlottenburg-Wilmersdorf,650.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2041,,
Charlottenburg-Wilmersdorf,800.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2044,,
Mitte,650.0,G - Gewerbe,2.5,2006-01-01T00:00:00,Frei nach BauGB u. StrABG,2046,,
