BEZIRK,BRW,NUTZUNG,GFZ,STICHTAG,BEITRAGSZUSTAND,alias
Charlottenburg-Wilmersdorf,2400.0,M1 - Kerngebiet,4.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1101
Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1500
Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1503
Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1506
Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1509
Mitte,620.0,W - Wohngebiet,1,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1581
Mitte,330.0,W - Wohngebiet,1.2,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1636
Mitte,90.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1637
Mitte,340.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1832
Mitte,340.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1832
Mitte,380.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1846
Mitte,420.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1849
Mitte,460.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1856
Mitte,420.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1858
Charlottenburg-Wilmersdorf,420.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1862
Charlottenburg-Wilmersdorf,500.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1872
Charlottenburg-Wilmersdorf,460.0,W - Wohngebiet,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,1875
Charlottenburg-Wilmersdorf,240.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2007
Mitte,240.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2009
Charlottenburg-Wilmersdorf,260.0,G - Gewerbe,2,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2024
Mitte,480.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2038
Charlottenburg-Wilmersdorf,580.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2041
Charlottenburg-Wilmersdorf,750.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2044
Mitte,580.0,G - Gewerbe,2.5,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2046
Mitte,80.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2154
Mitte,150.0,G - Gewerbe,,2007-01-01T00:00:00,Frei nach BauGB u. StrABG,2155
,,,,,,5
