GEMEINDE,BEZIRK,BRW,NUTZUNG,GFZ,STICHTAG,BEITRAGSZUSTAND,alias
Berlin,Mitte,600.0,W - Wohngebiet,0.6,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1005
Berlin,Charlottenburg-Wilmersdorf,2400.0,M1 - Kerngebiet,4.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1101
Berlin,Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1500
Berlin,Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1503
Berlin,Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1506
Berlin,Charlottenburg-Wilmersdorf,80.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1509
Berlin,Mitte,620.0,W - Wohngebiet,1,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1581
Berlin,Mitte,330.0,W - Wohngebiet,1.2,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1636
Berlin,Mitte,90.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1637
Berlin,Mitte,90.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1642
Berlin,Mitte,340.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1832
Berlin,Mitte,380.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1846
Berlin,Mitte,420.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1849
Berlin,Mitte,460.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1856
Berlin,Mitte,420.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1858
Berlin,Charlottenburg-Wilmersdorf,420.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1862
Berlin,Charlottenburg-Wilmersdorf,500.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1872
Berlin,Charlottenburg-Wilmersdorf,460.0,W - Wohngebiet,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,1875
Berlin,Charlottenburg-Wilmersdorf,190.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2007
Berlin,Mitte,220.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2009
Berlin,Charlottenburg-Wilmersdorf,220.0,G - Gewerbe,2,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2024
Berlin,Mitte,400.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2038
Berlin,Charlottenburg-Wilmersdorf,520.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2041
Berlin,Charlottenburg-Wilmersdorf,750.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2044
Berlin,Mitte,520.0,G - Gewerbe,2.5,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2046
Berlin,Mitte,80.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2154
Berlin,Mitte,170.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2155
Berlin,Charlottenburg-Wilmersdorf,90.0,G - Gewerbe,,2010-01-01T00:00:00,Frei nach BauGB u. StrABG,2230
