GEMEINDE,BEZIRK,BRW,NUTZUNG,GFZ,STICHTAG,BEITRAGSZUSTAND,alias,ANWERT,VERFAHRENSART
Berlin,Mitte,1700.0,W - Wohngebiet,0.6,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1005,,
Berlin,Charlottenburg-Wilmersdorf,2600.0,M1 - Kerngebiet,4.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1101,,
Berlin,Charlottenburg-Wilmersdorf,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1500,,
Berlin,Charlottenburg-Wilmersdorf,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1503,,
Berlin,Charlottenburg-Wilmersdorf,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1506,,
Berlin,Mitte,1200.0,W - Wohngebiet,1,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1581,,
Berlin,Mitte,650.0,W - Wohngebiet,1.2,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1636,,
Berlin,Mitte,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1637,,
Berlin,Mitte,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1642,,
Berlin,Mitte,750.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1832,,
Berlin,Mitte,900.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1846,,
Berlin,Mitte,1000.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1849,,
Berlin,Mitte,1400.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1856,,
Berlin,Mitte,1000.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1858,,
Berlin,Charlottenburg-Wilmersdorf,1100.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1862,,
Berlin,Charlottenburg-Wilmersdorf,1700.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1872,,
Berlin,Charlottenburg-Wilmersdorf,1000.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,1875,,
Berlin,Charlottenburg-Wilmersdorf,220.0,G - Gewerbe,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2007,,
Berlin,Charlottenburg-Wilmersdorf,300.0,G - Gewerbe,2,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2024,,
Berlin,Charlottenburg-Wilmersdorf,950.0,G - Gewerbe,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2041,,
Berlin,Charlottenburg-Wilmersdorf,1100.0,G - Gewerbe,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2044,,
Berlin,Mitte,950.0,G - Gewerbe,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2046,,
Berlin,Mitte,90.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2154,,
Berlin,Mitte,180.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2155,,
Berlin,Charlottenburg-Wilmersdorf,110.0,G - Gewerbe,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2230,,
Berlin,Mitte,50.0,GB - Gemeinbedarf,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2254,,
Berlin,Charlottenburg-Wilmersdorf,900.0,GB - Gemeinbedarf,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2257,,
Berlin,Mitte,350.0,G - Gewerbe,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2277,,
Berlin,Mitte,1000.0,W - Wohngebiet,2.5,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2323,SU,San
Berlin,Mitte,190.0,GB - Gemeinbedarf,,2016-01-01T00:00:00,Beitragsfrei nach BauGB,2338,,
