alias,EW2013,EW2012,EW2011,EW2010,HA2013,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
0200010011000000,,,,,,,,,
0200010051000100,,,,,,,,,
0200010071000100,118,106,92,97,7.15,16,15,13,14
0200010071000200,434,408,404,405,1.27,340,319,316,317
0200010121000000,807,751,759,734,1.6,501,467,472,456
0200010131000100,55,70,57,57,2.1,26,33,27,27
0200010131000200,937,878,857,829,1.55,602,564,551,533
0200010741000100,265,249,234,230,0.54,488,459,431,424
0200010741000200,0,0,0,3,4.95,0,0,0,1
0200010751000000,332,290,301,279,0.73,451,394,409,379
0200010761000000,3,0,3,6,8.52,0,0,0,1
0200010941000100,110,112,99,84,2.17,50,51,45,39
0200010941000200,50,60,63,57,0.82,61,73,76,69
0200010941000300,,,,,,,,,
0200015021000000,,,,,,,,,
0200015031000100,,,,,,,,,
0200015031000200,,,,,,,,,
0200015041000000,,,,,,,,,
0200015051000000,,,,,,,,,
0200015061000000,,,,,,,,,
0200015101000000,,,,,,,,,
0200015111000000,,,,,,,,,
0200016001000000,15,12,9,6,0.88,17,14,10,7
0200016011000000,4,,3,0,33.61,0,,0,0
0200016021000000,0,0,0,0,35.78,0,0,0,0
0200016031000000,12,12,12,15,7.93,2,2,2,2
0200016241000100,,,,,,,,,
0200016241000200,,,,,,,,,
0200016251000100,228,218,211,212,0.39,582,556,538,541
0200016251000200,,,,,,,,,
0200016251000300,,,,,,,,,
0200016251000400,,,,,,,,,
0200016251000500,,,,,,,,,
0200018501000000,6,6,12,4,4.1,1,1,3,1
0200018511000000,,,,,,,,,
0200018521000000,,,,,,,,,
0200018641000000,,,,,,,,,
0200018651000000,,,,,,,,,
0200018661000000,,,,,,,,,
0200018671000000,,,,,,,,,
0200018741000000,,,,,,,,,
0200018751000000,,,,,,,,,
0200018771000000,,,,,,,,,
0200019001000100,,,,,,,,,
0200019001000200,,,,,,,,,
0200019001000300,,,,,,,,,
0200019001000400,,,,,,,,,
0200019011000000,,,,,,,,,
0200019031000300,,,,,,,,,
0200019031000400,,,,,,,,,
0200019031000900,,,,,,,,,
0200019061000000,15,7,,,6.39,2,1,,
0200020161000000,399,390,388,390,1.6,248,242,241,242
0200020171000000,873,813,785,769,1.82,478,445,430,421
0200020181000000,1291,1268,1248,1232,3.37,383,376,370,365
0200020191000000,1453,1418,1415,1376,3.55,409,399,398,387
0200020201000000,1173,1110,1106,1094,3.13,374,354,353,349
0200020211000000,,,,,,,,,
0200020221000100,401,392,375,378,0.72,557,544,521,525
0200020221000200,,,,,,,,,
0200020231000000,1032,991,982,974,2.22,464,445,441,438
0200020241000000,620,611,586,602,1.41,439,432,415,426
0200020251000000,523,506,487,471,2.07,252,244,235,227
0200020261000000,749,699,681,683,1.41,531,496,483,484
0200020281000000,418,410,417,396,2.79,149,147,149,142
0200020291000000,,,,,,,,,
0200020301000000,969,934,929,904,2.04,474,457,454,442
0200020321000000,749,702,703,685,2.08,360,337,337,329
0200020331000100,660,694,709,707,1.71,384,404,412,411
0200020331000200,484,457,453,457,0.93,519,490,486,490
0200020331000300,,,,,,,,,
0200020341000000,328,344,331,333,1.55,211,221,213,214
0200020351000000,669,651,662,659,1.75,382,372,378,376
0200020361000000,1625,1562,1518,1508,4.28,379,365,354,352
0200020371000000,1219,1225,1195,1177,2.38,511,514,501,494
0200020381000000,240,253,232,226,0.49,488,515,472,460
0200020391000000,958,969,973,957,2.05,466,472,474,466
0200020401000000,536,533,528,511,0.9,591,588,582,563
0200020461000000,1270,1226,1197,1133,3.58,355,342,334,316
0200020471000000,1760,1712,1697,1627,3.94,446,434,430,412
0200020481000100,721,657,630,685,2.73,264,240,230,251
0200020481000200,685,711,714,694,2.35,291,302,304,295
0200020491000000,1065,1044,1052,1023,2.93,363,356,358,348
0200020501000000,428,462,434,425,2.18,196,212,199,195
0200020511000000,798,781,800,778,2.48,321,315,322,313
0200020521000000,477,483,467,474,1.65,288,291,282,286
0200020531000000,654,653,637,630,1.3,503,502,490,484
0200020541000000,946,927,911,895,2.85,331,325,319,313
0200020551000000,623,613,599,600,2.18,285,281,274,275
0200020561000000,617,618,602,588,2.37,260,260,253,247
0200020571000000,8,12,10,3,0.54,15,22,18,5
0200020581000000,,,,,,,,,
0200020591000000,317,328,328,333,0.51,620,642,642,652
0200020601000000,420,416,418,418,1.3,322,319,321,321
0200020611000000,528,497,473,463,1.76,298,281,267,262
0200020621000100,710,727,704,681,1.32,538,550,533,516
0200020621000200,3,3,3,0,2.25,1,1,1,0
