EW2014,HA2014,EW_HA2014,alias,EW2013,EW2012,EW2011,EW2010,EW_HA2013,EW_HA2012,EW_HA2011,EW_HA2010
6,1.75,3,0200010011000000,,,,,,,,
,,,0200010051000100,,,,,,,,
139,7.15,19,0200010071000100,118,106,92,97,16,15,13,14
431,1.27,337,0200010071000200,434,408,404,405,340,319,316,317
810,1.6,503,0200010121000000,807,751,759,734,501,467,472,456
79,2.1,37,0200010131000100,55,70,57,57,26,33,27,27
903,1.55,580,0200010131000200,937,878,857,829,602,564,551,533
271,0.54,499,0200010741000100,265,249,234,230,488,459,431,424
,,,0200010741000200,,,,,,,,
348,0.73,472,0200010751000000,332,290,301,279,451,394,409,379
4,8.52,0,0200010761000000,3,0,3,6,0,0,0,1
126,2.17,58,0200010941000100,110,112,99,84,50,51,45,39
56,0.82,68,0200010941000200,50,60,63,57,61,73,76,69
,,,0200010941000300,,,,,,,,
,,,0200015021000000,,,,,,,,
,,,0200015031000100,,,,,,,,
,,,0200015031000200,,,,,,,,
,,,0200015041000000,,,,,,,,
,,,0200015051000000,,,,,,,,
,,,0200015061000000,,,,,,,,
,,,0200015101000000,,,,,,,,
,,,0200015111000000,,,,,,,,
19,0.88,21,0200016001000000,15,12,9,6,17,14,10,7
,,,0200016011000000,,,,,,,,
,,,0200016021000000,,,,,,,,
12,7.93,2,0200016031000000,12,12,12,15,2,2,2,2
,,,0200016241000100,,,,,,,,
,,,0200016241000200,,,,,,,,
223,0.39,569,0200016251000100,228,218,211,212,582,556,538,541
,,,0200016251000200,,,,,,,,
,,,0200016251000300,,,,,,,,
,,,0200016251000400,,,,,,,,
,,,0200016251000500,,,,,,,,
3,4.1,1,0200018501000000,6,6,12,4,1,1,3,1
,,,0200018511000000,,,,,,,,
,,,0200018521000000,,,,,,,,
,,,0200018641000000,,,,,,,,
,,,0200018651000000,,,,,,,,
,,,0200018661000000,,,,,,,,
,,,0200018671000000,,,,,,,,
,,,0200018741000000,,,,,,,,
,,,0200018751000000,,,,,,,,
,,,0200018771000000,,,,,,,,
,,,0200019001000100,,,,,,,,
,,,0200019001000200,,,,,,,,
,,,0200019001000300,,,,,,,,
,,,0200019001000400,,,,,,,,
,,,0200019011000000,,,,,,,,
,,,0200019031000300,,,,,,,,
,,,0200019031000400,,,,,,,,
,,,0200019031000900,,,,,,,,
21,6.39,3,0200019061000000,15,7,,,2,1,,
398,1.6,247,0200020161000000,399,390,388,390,248,242,241,242
899,1.82,492,0200020171000000,873,813,785,769,478,445,430,421
1308,3.37,388,0200020181000000,1291,1268,1248,1232,383,376,370,365
1460,3.55,411,0200020191000000,1453,1418,1415,1376,409,399,398,387
1213,3.13,387,0200020201000000,1173,1110,1106,1094,374,354,353,349
,,,0200020211000000,,,,,,,,
429,0.72,596,0200020221000100,401,392,375,378,557,544,521,525
,,,0200020221000200,,,,,,,,
1081,2.22,486,0200020231000000,1032,991,982,974,464,445,441,438
641,1.41,454,0200020241000000,620,611,586,602,439,432,415,426
532,2.07,257,0200020251000000,523,506,487,471,252,244,235,227
768,1.41,545,0200020261000000,749,699,681,683,531,496,483,484
421,2.79,151,0200020281000000,418,410,417,396,149,147,149,142
,,,0200020291000000,,,,,,,,
998,2.04,488,0200020301000000,969,934,929,904,474,457,454,442
740,2.08,355,0200020321000000,749,702,703,685,360,337,337,329
711,1.71,414,0200020331000100,660,694,709,707,384,404,412,411
441,0.93,473,0200020331000200,484,457,453,457,519,490,486,490
,,,0200020331000300,,,,,,,,
330,1.55,212,0200020341000000,328,344,331,333,211,221,213,214
678,1.75,387,0200020351000000,669,651,662,659,382,372,378,376
1639,4.28,383,0200020361000000,1625,1562,1518,1508,379,365,354,352
1313,2.38,551,0200020371000000,1219,1225,1195,1177,511,514,501,494
244,0.49,496,0200020381000000,240,253,232,226,488,515,472,460
959,2.05,467,0200020391000000,958,969,973,957,466,472,474,466
545,0.9,601,0200020401000000,536,533,528,511,591,588,582,563
1314,3.58,367,0200020461000000,1270,1226,1197,1133,355,342,334,316
1813,3.94,460,0200020471000000,1760,1712,1697,1627,446,434,430,412
758,2.73,277,0200020481000100,721,657,630,685,264,240,230,251
766,2.35,326,0200020481000200,685,711,714,694,291,302,304,295
1100,2.93,375,0200020491000000,1065,1044,1052,1023,363,356,358,348
417,2.18,191,0200020501000000,428,462,434,425,196,212,199,195
