NOX_EKH89,NOX_EKH94,NOX_EKH02,NOX_EKH05,NOX_EKH09,NOX_EKI89,NOX_EKI02,NOX_EKI04,NOX_EKI08,NOX_EKV89,NOX_EKV94,NOX_EKV02,NOX_EKV05,NOX_EKV09,NOX_V09HS,NOX_V09NS,NOX_GES89,NOX_GES94,NOX_GES02,NOX_GES05,NOX_GES09,PM10_EKH09,PM10_EKI08,PM10_EKV09,PM10_GES09,PM10_V09HS,PM10_V09NS,PM25_EKH09,PM25_EKI08,PM25_EKV09,PM25_GES09,PM25_V09HS,PM25_V09NS,SO2_EKH89,SO2_EKH94,SO2_EKH02,SO2_EKH05,SO2_EKI89,SO2_EKI94,SO2_EKI02,SO2_EKI05,SO2_EKV89,SO2_EKV94,SO2_EKV02,SO2_EKV05,SO2_GES89,SO2_GES94,SO2_GES02,SO2_GES05,BOX_LINKS,BOX_UNTEN,alias
0,5.44,0.04,0.05,1.26,106.38,78.01,0,0,57.8,74.27,22.2,19.8,9.93,8.73,1.2,1.17,169.62,152.34,22.26,21.07,0,1.02,0.12,0.02,11.11,0.89,0,0.69,0.08,0.02,1.04,0.6,7.22,0.15,0.78,0.71,12.63,0.02,0.03,0.03,58.35,1.95,0,0.75,3.55,5.24,0.11,0,18000,23000,Z0000026S0000056
0,12.37,0.8,0.24,0.42,40.35,20.06,6.07,6.06,64.3,57.1,36.41,29.38,20.12,19.39,0.73,0.45,117.02,77.97,42.74,35.87,1.13,2.27,0.07,0.01,20.58,2.19,0.32,1.5,0.05,0.0099,3.41,1.45,16.51,8.72,8.63,1.83,29.16,0.56,0.27,0.04,24.37,11.33,8.26,0.32,3.95,4.6,0.17,8.26,19000,23000,Z0000026S0000057
310.4,15.74,0.81,0.16,0.22,6.63,0,197.04,266.03,64.2,46.34,26.06,16.37,20.95,19.68,1.27,0.12,86.57,47.16,223.28,282.63,23.53,2.56,0.13,0.004,331.48,2.43,14.44,1.69,0.09,0.0036,26.1,1.59,4.11,377.11,478.07,16.14,35.46,0.6,0.2,0.02,6.37,0,376.74,0.21,3.95,3.5,0.15,477.83,20000,23000,Z0000026S0000058
0.28,5.75,10.12,10.56,11.43,6.95,0,1.69,0.42,53,78.49,20.44,17.91,15.13,11.74,3.38,8.4,65.7,88.63,32.71,29.77,1.12,1.99,0.36,0.68,23.82,1.62,0.9,1.29,0.24,0.62,3.8,1.04,23.04,8.83,5.68,2.81,12.75,16.94,8.54,0.03,6.87,0,0.17,5.58,3.26,6.09,0.11,0.07,21000,23000,Z0000026S0000059
0,5.88,6.74,5.54,6.5,8199.19,1742.04,4.72,0,44.7,39.03,21.43,15.47,14.09,11.47,2.61,5.51,8249.77,1787.83,31.71,21.97,0,1.66,0.28,0.19,19.61,1.38,0,1.07,0.18,0.17,1.86,0.88,627.98,5.23,3.3,1.24,11.95,10.97,4.7,0.01,2260.12,613.99,0.42,3.28,2.75,3,0.09,0,18000,22000,Z0000027S0000056
2.58,3.59,9.43,8.41,10.14,13.39,1.58,4.88,5.18,49,55.38,27.47,19.83,19.31,15.06,4.24,4.13,65.98,66.41,40.77,35.16,0.00213,2.37,0.45,0.11,26.03,1.91,0,1.53,0.3,0.1,2.48,1.22,18.99,13,5.11,1.63,8.09,11.97,6.54,0.02,14.59,2.71,6.32,5.02,3.01,4.29,0.14,0.06,19000,22000,Z0000027S0000057
0,10.63,13.78,13.68,13.9,1.72,0.06,0,0,49.2,60.96,36.21,30.88,24.99,18.14,6.84,9.99,61.55,74.82,49.89,44.79,0,3.06,0.73,0.6,34.99,2.32,0,1.98,0.49,0.54,3.66,1.48,23.46,11.17,7.01,2.53,20.15,18.67,10.96,0.05,1.98,0.1,0,6.96,3.02,4.67,0.2,0,20000,22000,Z0000027S0000058
0,3.54,5.91,4.68,5.17,2.74,0,0,0,45.6,35.76,19.41,17.13,12,7.41,4.58,3.82,51.88,41.68,24.1,22.31,0,1.35,0.49,0.07,15.82,0.86,0,0.88,0.33,0.07,1.43,0.55,11.06,4.07,2.41,0.96,6.78,8.18,3.95,0.02,3.3,0,0,2.38,2.8,2.87,0.1,0,21000,22000,Z0000027S0000059
131.98,11.49,5.56,5.12,6.94,6.41,0.006,289.83,98.92,127,37.77,21.15,12.65,15.14,10.42,4.72,5.9,144.91,43.34,316.11,118.51,0.79,1.8,0.5,0.18,153.02,1.29,0.08,1.16,0.34,0.16,2.78,0.82,8.78,193.72,4.25,1.41,21.69,5.84,2.54,0.02,6.49,0,191.04,3.17,7.81,2.93,0.12,1.05,18000,21000,Z0000028S0000056
0,3.68,5.89,5.27,6.68,1.13,0.01,0.17,0,80.7,57.5,22.22,15.03,14.63,9.99,4.64,6.36,85.51,63.41,27.67,21.71,0,1.78,0.49,0.22,20.99,1.28,0,1.16,0.33,0.2,2.01,0.82,11.25,4.05,3.65,1.36,5.76,6.8,3.7,0.02,4.99,0,0.22,3.62,4.96,4.44,0.12,0,19000,21000,Z0000028S0000057
