Bohrungsbezeichnung,DIR_PIX_1800,P18_100TXT,P18_80TXT,P18_60TXT,P18_40TXT,alias
423A-3109,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_7439.png" target="abb">zur Abbildung</a>,-,-,-,41 7,F62__7419
423A-3145,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_7443.png" target="abb">zur Abbildung</a>,-,-,-,42 9,F62__7423
423A-3168,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_7445.png" target="abb">zur Abbildung</a>,-,-,-,41 7,F62__7425
423A-4304,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_7455.png" target="abb">zur Abbildung</a>,-,-,-,42 8,F62__7435
423A-4994,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_7485.png" target="abb">zur Abbildung</a>,-,41 1,40 2,40 8,F62__7465
423C-3027,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8019.png" target="abb">zur Abbildung</a>,-,-,42 5,41 0,F62__7999
423C-3066,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8022.png" target="abb">zur Abbildung</a>,-,-,-,44 5,F62__8002
423C-3189,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8046.png" target="abb">zur Abbildung</a>,-,43 8,43 4,42 3,F62__8026
423C-3190,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8047.png" target="abb">zur Abbildung</a>,-,42 1,41 4,39 3,F62__8027
423C-3297,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8048.png" target="abb">zur Abbildung</a>,-,-,-,41 5,F62__8028
423C-3394,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8050.png" target="abb">zur Abbildung</a>,-,-,-,40 6,F62__8030
423C-3408,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8051.png" target="abb">zur Abbildung</a>,-,-,-,42 0,F62__8031
423C-3954,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8067.png" target="abb">zur Abbildung</a>,-,-,-,39 6,F62__8047
423C-3955,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8068.png" target="abb">zur Abbildung</a>,-,-,-,44 5,F62__8048
424B-3227,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8766.png" target="abb">zur Abbildung</a>,-,-,41 6,42 4,F62__8746
424B-3228,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8767.png" target="abb">zur Abbildung</a>,44 3,44 3,44 2,43 5,F62__8747
424B-3229,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8768.png" target="abb">zur Abbildung</a>,-,-,-,43 3,F62__8748
424B-3284,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8771.png" target="abb">zur Abbildung</a>,33 4,34 3,32 8,32 2,F62__8751
424B-3401,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8772.png" target="abb">zur Abbildung</a>,-,-,-,43 9,F62__8752
424B-3516,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8773.png" target="abb">zur Abbildung</a>,-,40 6,38 9,37 8,F62__8753
424B-3517,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8774.png" target="abb">zur Abbildung</a>,-,33 9,33 3,35 0,F62__8754
424B-3518,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8775.png" target="abb">zur Abbildung</a>,-,40 2,39 8,36 9,F62__8755
424B-3898,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8777.png" target="abb">zur Abbildung</a>,-,-,37 8,38 6,F62__8757
424B-3916,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8778.png" target="abb">zur Abbildung</a>,-,42 8,41 8,43 8,F62__8758
424B-3919,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8780.png" target="abb">zur Abbildung</a>,-,42 0,41 5,45 8,F62__8760
424B-4028,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8784.png" target="abb">zur Abbildung</a>,-,-,-,37 1,F62__8764
424B-4068,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8785.png" target="abb">zur Abbildung</a>,40 8,40 1,38 3,41 3,F62__8765
424B-41,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8787.png" target="abb">zur Abbildung</a>,-,-,-,42 9,F62__8767
424B-4260,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8788.png" target="abb">zur Abbildung</a>,-,-,-,41 2,F62__8768
424B-4264,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8789.png" target="abb">zur Abbildung</a>,-,39 3,38 5,41 6,F62__8769
424B-4399,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8790.png" target="abb">zur Abbildung</a>,-,39 2,37 4,41 4,F62__8770
424B-6020,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8796.png" target="abb">zur Abbildung</a>,-,-,-,38 8,F62__8776
424B-6134,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8797.png" target="abb">zur Abbildung</a>,-,-,-,39 6,F62__8777
424B-6987,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8798.png" target="abb">zur Abbildung</a>,42 2,41 4,42 6,42 5,F62__8778
424D-136,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8912.png" target="abb">zur Abbildung</a>,-,43 8,43 2,42 1,F62__8892
424D-3109,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8915.png" target="abb">zur Abbildung</a>,-,-,-,42 7,F62__8895
424D-3215,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8921.png" target="abb">zur Abbildung</a>,-,-,-,42 0,F62__8901
424D-3277,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8923.png" target="abb">zur Abbildung</a>,-,-,-,43 0,F62__8903
424D-3282,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8924.png" target="abb">zur Abbildung</a>,-,-,-,44 8,F62__8904
424D-3285,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8925.png" target="abb">zur Abbildung</a>,-,-,-,42 0,F62__8905
424D-4527,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8933.png" target="abb">zur Abbildung</a>,-,-,-,42 3,F62__8913
424D-5385,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8938.png" target="abb">zur Abbildung</a>,-,-,-,40 8,F62__8918
424D-6038,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8939.png" target="abb">zur Abbildung</a>,-,-,39 7,41 2,F62__8919
424D-6046,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8940.png" target="abb">zur Abbildung</a>,43 2,42 7,41 7,42 5,F62__8920
424D-6128,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8941.png" target="abb">zur Abbildung</a>,-,-,-,43 0,F62__8921
424D-7917,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8949.png" target="abb">zur Abbildung</a>,-,-,-,42 8,F62__8929
424D-7918,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8950.png" target="abb">zur Abbildung</a>,-,-,40 4,42 9,F62__8930
424D-8421,<a href=http://fbinter.stadt-berlin.de/fb_daten/fotos/geotherm/p1800/bohrung1800locid000000_8953.png" target="abb">zur Abbildung</a>,-,-,-,43 1,F62__8933
