FIRMA,ADRESSE,PLZ,BEZ,ANLAGE,alias
Atotech Deutschland GmbH,Erasmusstraße 22-28,10553,Entwicklung und Erprobung galvanischer Bäder,3.10.1EG,101
TILO Service GmbH,Beusselstraße 44 N-Q,10553,Ammoniakkälteanlage,10.25V,102
Berliner Wasserbetriebe Anstalt des öffentlichen Rechts,Alt-Moabit 70,10555,Verbrennungsmotoranlage (Ppw. Tiergarten Berlin VIII),1.4.1.2V,105
Königliche Porzellan-Manufaktur Berlin GmbH,Wegelystraße 1,10623,Brennen keramischer Erzeugnisse,2.10.2V,106
BEHALA Berliner Hafen- und Lagerhaus- gesellschaft mbH,Westhafenstraße 1,13353,<a href=http://fbinter.stadt-berlin.de/fb_daten/sachdaten/bimschv/2015/bv108.html" target="BIMSCHV">weitere Informationen</a>,9.11.1V,108
Oder Havel Mischwerke GmbH & Co. KG,Westhafenstraße 1,13353,Bitumenmischanlage,2.15V,109
TSR Recycling GmbH & Co. KG NL Berlin,Westhafenstraße 1,13353,<a href=http://fbinter.stadt-berlin.de/fb_daten/sachdaten/bimschv/2015/bv110.html" target="BIMSCHV">weitere Informationen</a>,8.12.3.1G,110
Berlin Recycling GmbH,Westhafenstraße 1,13353,<a href=http://fbinter.stadt-berlin.de/fb_daten/sachdaten/bimschv/2015/bv111.html" target="BIMSCHV">weitere Informationen</a>,8.12.2V,111
BEHALA Berliner Hafen- und Lagerhaus- gesellschaft mbH,Westhafenstraße 1,13353,<a href=http://fbinter.stadt-berlin.de/fb_daten/sachdaten/bimschv/2015/bv112.html" target="BIMSCHV">weitere Informationen</a>,9.11.1V,112
TBG Tanklager Beteiligungsgesellschaft mbH,Westhafenstraße 1,13353,Lagerung brennbarer Flüssigkeiten,9.2.1G,114
BEHALA Berliner Hafen- und Lagerhaus- gesellschaft mbH,Westhafenstraße 1,13353,Begasungs- und Sterilisationsanlage,10.22.1V,117
Altmetalle Hans Wasdrack GmbH & Co. KG,Quitzowstraße 40,10559,Lagerung von Eisen- und Nichteisenschrotten,8.12.3.2V,120
Berliner Stadtreinigungsbetriebe,Ilsenburger Straße 18,10589,<a href=http://fbinter.stadt-berlin.de/fb_daten/sachdaten/bimschv/2015/bv83.html" target="BIMSCHV">weitere Informationen</a>,8.11.2.2V,83
TBG Tanklager Beteiligungsgesellschaft mbH,Quedlinburger Straße 11,10589,Lagerung brennbarer Flüssigkeiten,9.2.1G,84
Ingenieurgesellschaft Auto und Verkehr,Carnotstraße 1 A,10587,Prüfstände für Verbrennungsmotoren (9 Stück),10.15.1V,92
Siemens AG,Huttenstraße 12,10553,Lagerung brennbarer Gase (Betankungsanlage),9.1.1.2V,96
Siemens AG,Huttenstraße 12,10553,Gasturbinenprüfstand,10.15.2.1G,97
