STATBLOCK,STRUTYP,VG,FL_HA,VERK_EINFL_JN,WEITERE_ZU,ZUORD_LEITBAHN,EINWOHNER,BIOK_BELAST,HINWEISE,alias,TEILBLOCK_ISU,VERK_EINFL
001001,Kleingarten Erschliessungsflaeche <  10%,19,20051,nein,Block ist Bestandteil einer klimaoekologisch relevanten Gruenflaecheneinheit,Kaltluftleitbahn mit sehr hoher Bedeutung fuer den Luftaustausch,3,Gruen- und Freiflaeche mit sehr hoher stadtklimatischer Bedeutung,Hoechste Empfindlichkeit gegenueber Nutzungsintensivierung; Vermeidung von Austauschbarrieren gegenueber bebauten Randbereichen,0200010011000000,,
001005,Ver- und Entsorgung,98,52318,ja,,,,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010051000100,001,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001007,Industrie/Gewerbegebiet B bebaute Flaeche >= 50%,89,71522,ja,,,490,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010071000100,001,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001007,Hinterhof,89,12771,ja,,,490,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010071000200,002,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001009,Industrie/Gewerbegebiet B bebaute Flaeche >= 50%,93,103421,ja,,,41,Bioklimatisches Belastungspotential maessig in Einzelfaellen hoch,Kaltluftleitbahn; Vermeidung baulicher Hindernisse die einen Kaltluftstau verursachen koennten. Bauhoehe moeglichst gering halt,0200010091000000,,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001012,Hinterhof,89,16095,nein,,,693,Bioklimatisches Belastungspotential gering,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010121000000,,
001013,Industrie/Gewerbegebiet B bebaute Flaeche >= 50%,96,21083,ja,,,857,Bioklimatisches Belastungspotential gering,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010131000100,001,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001013,Hinterhof,92,15556,ja,,,857,Bioklimatisches Belastungspotential gering,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010131000200,002,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001074,Hinterhof,90,5428,nein,,,158,Bioklimatisches Belastungspotential maessig in Einzelfaellen hoch,Sehr hohe Empfindlichkeit gegenueber Nutzungsintensivierung; keine weitere Verdichtung; klimaverbessernde Massnahmen einleiten,0200010741000100,001,
001074,Industrie/Gewerbegebiet B bebaute Flaeche >= 50%,96,49547,nein,,,158,Bioklimatisches Belastungspotential gering,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010741000200,002,
001075,Geschlossener Hinterhof,86,7367,nein,,,257,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010751000000,,
001076,Industrie/Gewerbegebiet B bebaute Flaeche >= 50%,93,85208,ja,,,3,Bioklimatisches Belastungspotential maessig in Einzelfaellen hoch,Kaltluftleitbahn; Vermeidung baulicher Hindernisse die einen Kaltluftstau verursachen koennten. Bauhoehe moeglichst gering halt,0200010761000000,,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001094,Hinterhof,93,21793,ja,,,180,Bioklimatisches Belastungspotential maessig in Einzelfaellen hoch,Sehr hohe Empfindlichkeit gegenueber Nutzungsintensivierung; keine weitere Verdichtung; klimaverbessernde Massnahmen einleiten,0200010941000100,001,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001094,Hinterhof,95,8261,ja,,,180,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200010941000200,002,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001094,Gruenanlage Park,8,3593,nein,Block ist Bestandteil einer klimaoekologisch relevanten Gruenflaecheneinheit,,180,Gruen- und Freiflaeche mit geringer stadtklimatischer Bedeutung,Geringe Empfindlichkeit gegenueber Nutzungsintensivierung; massvolle Bebauung die den Luftaustausch nicht beeintraechtigt, ist moeglich,0200010941000300,003,
001502,Ruderal-/Brachflaeche,7,4572,nein,Block ist Bestandteil einer klimaoekologisch relevanten Gruenflaecheneinheit,Kaltluftleitbahn mit sehr hoher Bedeutung fuer den Luftaustausch,,Gruen- und Freiflaeche mit sehr hoher stadtklimatischer Bedeutung,Hoechste Empfindlichkeit gegenueber Nutzungsintensivierung; Vermeidung von Austauschbarrieren gegenueber bebauten Randbereichen,0200015021000000,,
001503,Gruenanlage Park,10,5448,nein,Block ist Bestandteil einer klimaoekologisch relevanten Gruenflaecheneinheit,Kaltluftleitbahn mit sehr hoher Bedeutung fuer den Luftaustausch,,Gruen- und Freiflaeche mit sehr hoher stadtklimatischer Bedeutung,Hoechste Empfindlichkeit gegenueber Nutzungsintensivierung; Vermeidung von Austauschbarrieren gegenueber bebauten Randbereichen,0200015031000100,001,
001503,Gruenanlage Park,10,10443,nein,Block ist Bestandteil einer klimaoekologisch relevanten Gruenflaecheneinheit,Kaltluftleitbahn mit sehr hoher Bedeutung fuer den Luftaustausch,,Gruen- und Freiflaeche mit sehr hoher stadtklimatischer Bedeutung,Hoechste Empfindlichkeit gegenueber Nutzungsintensivierung; Vermeidung von Austauschbarrieren gegenueber bebauten Randbereichen,0200015031000200,002,
001504,,0,10263,nein,,,,,,0200015041000000,,
001505,,0,12118,nein,,,,,,0200015051000000,,
001506,,0,16064,nein,,,,,,0200015061000000,,
001510,,0,1902,nein,,,,,,0200015101000000,,
001511,,0,3115,nein,,,,,,0200015111000000,,
001601,Industrie/Gewerbegebiet A bebaute Flaeche <  50%,98,336206,nein,,,,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200016011000000,,
001621,Ver- und Entsorgung,98,358161,ja,,,,Kein bioklimatisches Belastungspotential bzw. klimatischer Komfortbereich,Gute Durchlueftung; vorwiegend geringe bis keine bioklimatische Belastung,0200016211000000,,Lage an einem Abschnitt mit moeglicher verkehrsbedingter Luftbelastung
001624,Parkplatz,78,12832,nein,,,,,,0200016241000100,001,
