BEZ,STRNAME,HSNR,PLZ,PLR,ORTST,STG,STRNR,BLK,RBS_EDIT,RBS_ID,OBJECTID,alias
04,Abbestraße,001,10587,04030623,0401,022,00005,022095,0,00005001,214,F4__214
04,Abbestraße,002,10587,04030623,0401,022,00005,022096,0,00005002,215,F4__215
04,Abbestraße,003,10587,04030623,0401,022,00005,022095,0,00005003,216,F4__216
04,Abbestraße,004,10587,04030623,0401,022,00005,022096,0,00005004,217,F4__217
04,Abbestraße,005,10587,04030623,0401,022,00005,022095,0,00005005,218,F4__218
04,Abbestraße,006,10587,04030623,0401,022,00005,022096,0,00005006,219,F4__219
04,Abbestraße,007,10587,04030623,0401,022,00005,022095,0,00005007,220,F4__220
04,Abbestraße,008,10587,04030623,0401,022,00005,022096,0,00005008,221,F4__221
04,Abbestraße,009,10587,04030623,0401,022,00005,022095,0,00005009,222,F4__222
04,Abbestraße,010,10587,04030623,0401,022,00005,022096,0,00005010,223,F4__223
04,Abbestraße,011,10587,04030623,0401,022,00005,022095,0,00005011,224,F4__224
04,Abbestraße,012,10587,04030623,0401,022,00005,022096,0,00005012,225,F4__225
04,Abbestraße,013,10587,04030623,0401,022,00005,022088,0,00005013,226,F4__226
04,Abbestraße,015,10587,04030623,0401,022,00005,022088,0,00005015,227,F4__227
04,Abbestraße,017,10587,04030623,0401,022,00005,022088,0,00005017,228,F4__228
04,Abbestraße,019,10587,04030623,0401,022,00005,022088,0,00005019,229,F4__229
01,Agricolastraße,001,10555,01022106,0102,003,00025,003097,0,00025001,893,F4__893
01,Agricolastraße,002,10555,01022106,0102,003,00025,003097,0,00025002,894,F4__894
01,Agricolastraße,002A,10555,01022106,0102,003,00025,003097,0,00025002A,895,F4__895
01,Agricolastraße,003,10555,01022106,0102,003,00025,003097,0,00025003,896,F4__896
01,Agricolastraße,003A,10555,01022106,0102,003,00025,003097,0,00025003A,897,F4__897
01,Agricolastraße,004,10555,01022106,0102,003,00025,003097,0,00025004,898,F4__898
01,Agricolastraße,005,10555,01022106,0102,003,00025,003097,0,00025005,899,F4__899
01,Agricolastraße,006,10555,01022106,0102,003,00025,003097,0,00025006,900,F4__900
01,Agricolastraße,007,10555,01022106,0102,003,00025,003102,0,00025007,901,F4__901
01,Agricolastraße,008,10555,01022106,0102,003,00025,003102,0,00025008,902,F4__902
01,Agricolastraße,009,10555,01022106,0102,003,00025,003102,0,00025009,903,F4__903
01,Agricolastraße,010,10555,01022106,0102,003,00025,003102,0,00025010,904,F4__904
01,Agricolastraße,010A,10555,01022106,0102,003,00025,003102,0,00025010A,905,F4__905
01,Agricolastraße,010B,10555,01022106,0102,003,00025,003102,0,00025010B,906,F4__906
01,Agricolastraße,011,10555,01022106,0102,003,00025,003102,0,00025011,907,F4__907
01,Agricolastraße,013,10555,01022106,0102,003,00025,003107,0,00025013,908,F4__908
01,Agricolastraße,014,10555,01022106,0102,003,00025,003107,0,00025014,909,F4__909
01,Agricolastraße,014A,10555,01022106,0102,003,00025,003107,0,00025014A,910,F4__910
01,Agricolastraße,015,10555,01022106,0102,003,00025,003107,0,00025015,911,F4__911
01,Agricolastraße,016,10555,01022106,0102,003,00025,003107,0,00025016,912,F4__912
01,Agricolastraße,017,10555,01022106,0102,003,00025,003108,0,00025017,913,F4__913
