SCHULNAME,SCHULART,TRAEGER,ZWEIG_01,BEZIRK,ORTSTEIL,PLZ,ADRESSE,TELEFON,FAX,EMAIL,INTERNET,LEITUNG,alias
Berlin-Kolleg,Berlin-Kolleg,Bezirk,Berlin-Kolleg,Mitte,Moabit,10551,Turmstr. 75,901838210,901838222,<a href=mailto:leitung@berlin-kolleg.de">leitung@berlin-kolleg.de</a>,<A HREF=http://www.berlin-kolleg.de" TARGET="Schulen">zur Website</a>,Angelika Weiß,Berlin-Kolleg
Volkshochschule Mitte,Volkshochschule,Bezirk,Volkshochschule,Mitte,Moabit,10551,Mathilde-Jacob-Platz 1,901837411,901837484,<a href=mailto:info.city-vhs@berlin.de">info.city-vhs@berlin.de</a>,<A HREF=http://www.city-vhs.de" TARGET="Schulen">zur Website</a>,Dr. Eduard J. Ditschek,Volkshochschule Mitte
Carl-Bolle-Grundschule,Grundschule,Bezirk,Grundschule,Mitte,Moabit,10551,Waldenserstr. 21,397457810,397457811,<a href=mailto:info@carl-bolle.cidsnet.de">info@carl-bolle.cidsnet.de</a>,<A HREF=http://www.carl-bolle.cidsnet.de/" TARGET="Schulen">zur Website</a>,Cordula Stobernack,Carl-Bolle-Grundschule
Hansa-Grundschule,Grundschule,Bezirk,Grundschule,Mitte,Hansaviertel,10555,Lessingstr. 5,39806430,39806434,<a href=mailto:info@hansa.cidsnet.de">info@hansa.cidsnet.de</a>,<A HREF=http://www.hansa@hansa.cidsnet.de" TARGET="Schulen">zur Website</a>,Hans-Joachim Scholz,Hansa-Grundschule
Miriam-Makeba-Grundschule,Grundschule,Bezirk,Grundschule,Mitte,Moabit,10555,Zinzendorfstr. 15-16,39405210,39405220,<a href=mailto:Gotzkowsky-Grundschule.cids@t-online.de">Gotzkowsky-Grundschule.cids@t-online.de</a>,<A HREF=http://Gotzkowsky-Grundschule.de" TARGET="Schulen">zur Website</a>,Holger Leimbach,Miriam-Makeba-Grundschule
Heinrich-von-Stephan-Schule (Gemeinschaftsschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,Mitte,Moabit,10553,Neues Ufer 6,39063130,39063140,<a href=mailto:hvstephan@web.de">hvstephan@web.de</a>,<A HREF=http://www.hvstephan.de" TARGET="Schulen">zur Website</a>,Jens Großpietsch,Heinrich-von-Stephan-Schule (Gemeinschaftsschule)
Hedwig-Dohm-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bezirk,Integrierte Sekundarschule,Mitte,Moabit,10559,Stephanstr. 27,38377131,38377130,<a href=mailto:hedwig-dohm-os@web.de">hedwig-dohm-os@web.de</a>,<A HREF=http://www.hedwig-dohm-os.de" TARGET="Schulen">zur Website</a>,Josef Widerski,Hedwig-Dohm-Schule (Integrierte Sekundarschule)
12. Schule (Gymnasium),Gymnasium,Bezirk,Gymnasien,Mitte,Hansaviertel,10555,Altonaer Str. 26,398009710,398009722,<a href=mailto:sekretariat@gymnasium-tiergarten.de">sekretariat@gymnasium-tiergarten.de</a>,<A HREF=http://gymnasium-tiergarten.de" TARGET="Schulen">zur Website</a>,Cynthia Segner,12. Schule (Gymnasium)
1. Schulpraktisches Seminar (S) Charlottenburg-Wilmersdorf,Schulpraktisches Seminar,Bezirk,Schulpraktisches Seminar,Charlottenburg-Wilmersdorf,Charlottenburg,10585,Otto-Suhr-Allee 100,902913280,902913285,<a href=mailto:herpell.1spsch@t-online.de">herpell.1spsch@t-online.de</a>,,Anja Herpell,1. Schulpraktisches Seminar (S) Charlottenburg-Wilmersdorf
2. Schulpraktisches Seminar (S) Charlottenburg-Wilmersdorf,Schulpraktisches Seminar,Bezirk,Schulpraktisches Seminar,Charlottenburg-Wilmersdorf,Charlottenburg,10585,Otto-Suhr-Allee 100,902913280,902913285,<a href=mailto:stein-kramer2spsch@t-online.de">stein-kramer2spsch@t-online.de</a>,,Dr. Michaela Stein-Kramer,2. Schulpraktisches Seminar (S) Charlottenburg-Wilmersdorf
