BEZIRK,PLRNAME,ANZAHL_SP,EW_GESAMT,EW_0_6,EW_6_12,EW_12_18,EW_0_18_KIND,ZWERT,GESAMT_SOLL_SP_NETTO,SPIELPLATZ_FLÄCHE_NETTO,DEFIZIT,GESAMT_VERSORGUNG_SP_NETTO,GESAMT_VERSSTUFE_SP_NETTO,KIND_SOLL_SP,KIND_VERSORGUNG_SP_NETTO,KIND_VERSSTUFE_SP_NETTO,G2VERSPRIV,GRESULTIEREND,alias
Mitte,Huttenkiez,1,2619,149,91,128,368,0,2619 00,1500,1119,0 57,4,2355.2,0 64,5,1,2,2101A
Mitte,Huttenkiez,3,720,12,25,7,44,1,720 00,5200,-4480,7 22,5,281.6,18 47,5,2,5,2101B
Mitte,Beusselkiez,3,6075,332,252,256,840,0,6075 00,2318,3757,0 38,3,5376,0 43,4,1,2,2102A
Mitte,Emdener Str.,7,17403,906,736,677,2319,0,17403 00,10340,7063,0 59,4,14841.6,0 70,5,1,2,2104A
Mitte,Zwinglistr.,4,4980,287,228,310,825,0,4980 00,6597,-1617,1 32,5,5280,1 25,5,1,3,2105A
Mitte,Elberfelder Str.,3,8039,430,393,388,1211,0,8039 00,813,7226,0 10,2,7750.4,0 10,2,1,1,2106A
Mitte,Elberfelder Str.,2,3478,194,138,120,452,0,3478 00,1818,1660,0 52,4,2892.8,0 63,5,2,3,2106B
Mitte,Stephankiez,3,6437,343,287,259,889,0,6437 00,3651,2786,0 57,4,5689.6,0 64,5,1,2,2201A
Mitte,Stephankiez,,1885,99,64,70,233,0,1885 00,,1885,,1,1491.2,,1,1,1,2201B
Mitte,Lübecker Str.,1,6549,429,380,329,1138,0,6549 00,1118,5431,0 17,2,7283.2,0 15,2,1,1,2203A
Mitte,Thomasiusstr.,8,5696,292,223,168,683,0,5696 00,8471,-2775,1 49,5,4371.2,1 94,5,2,4,2204A
Mitte,Hansaviertel,1,2905,113,81,78,272,1,2905 00,101,2804,0 03,1,1740.8,0 06,1,3,3,2207A
Mitte,Hansaviertel,,1759,51,68,71,190,1,1759 00,,1759,,1,1216,,1,3,3,2207B
Mitte,Hansaviertel,1,726,34,37,25,96,0,726 00,1625,-899,2 24,5,614.4,2 64,5,3,4,2207C
Mitte,Sparrplatz,1,3013,158,98,99,355,0,3013 00,178,2835,0 06,1,2272,0 08,1,1,1,4202C
Charlottenburg-Wilmersdorf,Plötzensee,,425,12,3,19,34,1,425 00,,425,,1,217.6,,1,-1,2,0102A
Charlottenburg-Wilmersdorf,Plötzensee,,221,15,18,6,39,0,221 00,,221,,1,249.6,,1,-1,1,0102B
Charlottenburg-Wilmersdorf,Plötzensee,,145,3,0,0,3,1,145 00,,145,,1,19.2,,1,5,4,0102C
Charlottenburg-Wilmersdorf,Paul-Hertz-Siedlung,1,6299,361,286,351,998,0,6299 00,1878,4421,0 30,3,6387.2,0 29,3,3,3,0103B
Charlottenburg-Wilmersdorf,Tegeler Weg,1,3826,152,130,144,426,1,3826 00,895,2931,0 23,2,2726.4,0 33,3,2,3,0518B
Charlottenburg-Wilmersdorf,Kaiserin-Augusta-Allee,,18,0,0,0,0,1,18 00,,18,,1,0.001,,1,-1,2,0519A
,,,,,,,,,,,,,,,,,,,0519B
Charlottenburg-Wilmersdorf,Kaiserin-Augusta-Allee,,766,25,22,24,71,1,766 00,,766,,1,454.4,,1,-1,2,0519C
Charlottenburg-Wilmersdorf,Kaiserin-Augusta-Allee,1,3601,179,132,131,442,0,3601 00,1195,2406,0 33,3,2828.8,0 42,4,2,3,0519D
Charlottenburg-Wilmersdorf,Kaiserin-Augusta-Allee,,151,6,3,9,18,0,151 00,,151,,1,115.2,,1,3,2,0519F
Charlottenburg-Wilmersdorf,Alt-Lietzow,3,5519,257,200,234,691,0,5519 00,1190,4329,0 22,2,4422.4,0 27,3,2,2,0620B
Charlottenburg-Wilmersdorf,Spreestadt,2,2326,114,110,92,316,0,2326 00,2838,-512,1 22,5,2022.4,1 40,5,2,4,0621A
Charlottenburg-Wilmersdorf,Spreestadt,,527,18,6,20,44,1,527 00,,527,,1,281.6,,1,1,2,0621B
Charlottenburg-Wilmersdorf,Spreestadt,,156,6,3,9,18,0,156 00,,156,,1,115.2,,1,-1,1,0621C
Charlottenburg-Wilmersdorf,Richard-Wagner-Straße,2,6622,270,284,254,808,0,6622 00,1601,5021,0 24,2,5171.2,0 31,3,1,1,0622A
Charlottenburg-Wilmersdorf,Richard-Wagner-Straße,1,3437,115,119,126,360,1,3437 00,2990,447,0 87,5,2304,1 30,5,3,5,0622B
Charlottenburg-Wilmersdorf,Ernst-Reuter-Platz,1,2336,111,75,59,245,1,2336 00,2227,109,0 95,5,1568,1 42,5,2,5,0623A
Charlottenburg-Wilmersdorf,Ernst-Reuter-Platz,,1072,52,50,43,145,0,1072 00,,1072,,1,928,,1,3,2,0623B
Charlottenburg-Wilmersdorf,Ernst-Reuter-Platz,,211,9,3,16,28,0,211 00,,211,,1,179.2,,1,-1,1,0623C
