StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
16,00005,Abbestraße,GEMEINE ROSSKASTANIE,AESCULUS HIPPOCASTANUM,AESCULUS,16,Abbestraße,19,1936,80,11,189,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775802,
13,00094,Alt Lietzow,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,69,Alt-Lietzow,37,2001,15,5,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775845,
40,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,40,Alt-Lietzow,,1980,36,8,95,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775846,
50,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,50,Alt-Lietzow,,1977,39,5,135,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775847,
55,00094,Alt Lietzow,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,TILIA,55,Alt-Lietzow,,1987,29,9,80,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775848,
58,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,58,Alt-Lietzow,,1931,85,12,200,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775849,
6,00094,Alt Lietzow,WINTER-LINDE,TILIA CORDATA,TILIA,6,Alt-Lietzow,19,1946,70,8,160,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775850,
20,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,20,Am Spreebord,,1976,40,12,175,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775924,
25,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,25,Am Spreebord,,1981,35,12,195,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775925,
4,00252,Am Spreebord,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,4,Am Spreebord,,1986,30,8,130,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__775926,
11,00329,Arcostraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,11,Arcostraße,19,1990,26,17,175,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__775943,
4,00329,Arcostraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,4,Arcostraße,5,1979,37,13,110,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__775944,
21,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,21,Darwinstraße,14,1985,31,9,120,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776570,
3,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,11,Darwinstraße,15,1991,25,6,70,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776571,
7,00926,Darwinstraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,7,Darwinstraße,11,1979,37,11,130,12,Charlottenburg-Wilmersdorf,Land Berlin,F3__776572,
3,01009,Dovestraße,WINTER-LINDE,TILIA CORDATA,TILIA,3,Dovestraße,4,1953,63,12,160,17,Charlottenburg-Wilmersdorf,Land Berlin,F3__776665,
10,01102,Einsteinufer,BAUM-HASEL - TÜRKISCHE HASEL,CORYLUS COLURNA,CORYLUS,16,Einsteinufer,59,2011,5,,25,7,Charlottenburg-Wilmersdorf,Land Berlin,F3__776726,
