OKSTRA_ID,ELEM_NR,STR_NAME,BEZIRK,STADTTEIL,STRKLASSE1,alias
468D67F6932C499AB1D911F6A40A2C18,41550003_41550004.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
FAD95902F9B640BB8CBFF0D04C309EE7,41550004_41550005.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
A5C9A71200AF43F891C60F1E97AE346A,41550005_41550006.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
EE1D6C4DED974B71A7176EEF7414E201,41550006_42550003.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
2F6655452F244B43B12DAA183729AEF0,42550003_42550004.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
0F0134AC983446AC9B3BD782CC5012A5,42550004_42550005.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
BAE3BE1B6D734F5F9D7093B0715F7170,42550005_42550006.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
B535FE15EBC74B2DA1054BF0D153FA28,42550006_42550007.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
E1FA45CDAB354EF4AF06A8BF469EBE81,42550007_43550001.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
631AED78CF884B98A1E3C190DCA91B0C,43550001_43550002.01,Alt-Moabit,Mitte,Moabit,II,Alt-Moabit
73E61421CAA8426DA492385A115CAF5F,42550038_42550037.01,Altonaer Straße,Mitte,Hansaviertel,II,Altonaer Straße
230E0147AFBE444C88559B149CAD82E8,42550037_42540002.01,Altonaer Straße,Mitte,Hansaviertel,II,Altonaer Straße
CB3389447425425AAF79E2BECEA5D1CC,42540002_42540016.01,Altonaer Straße,Mitte,Tiergarten,II,Altonaer Straße
7B0C034F79BC4EBB86A1297B21DF13A1,42570002_42570001.01,An der Putlitzbrücke,Mitte,Moabit,II,An der Putlitzbrücke
831343920A734944B9614A82FCD28036,42570001_42570003.01,An der Putlitzbrücke,Mitte,Moabit,II,An der Putlitzbrücke
65C36A921EF446D984D314B38410FDCB,42540038_42540003.01,Bachstraße,Mitte,Hansaviertel,II,Bachstraße
65632A480F7B475DA2E5DA672A26FBCF,42540039_42540038.01,Bachstraße,Charlottenburg-Wilmersdorf,Charlottenburg,II,Bachstraße
0F7B312E74B74095B7B9E0B4198C3E7C,42540003_42540004.01,Bachstraße,Mitte,Hansaviertel,II,Bachstraße
A9CD098B2D8C4BECBDEF9302B0F4546C,42540004_42540005.01,Bachstraße,Mitte,Hansaviertel,II,Bachstraße
7A106579644D42AEA010AADA9F18BE35,42540005_42550037.01,Bachstraße,Mitte,Hansaviertel,II,Bachstraße
35D51C519C1A433DA1E3780AD58FDDF7,42540002_42550039.01,Bartningallee,Mitte,Hansaviertel,IV,Bartningallee
60B39F3F32624ECA95DC213B8ABA771F,42550039_42550040.01,Bartningallee,Mitte,Hansaviertel,IV,Bartningallee
5E1E1556CF5C4014A034970DC9C1D565,42550040_42550041.01,Bartningallee,Mitte,Hansaviertel,IV,Bartningallee
854984D48D0545969BDD469C283DFA46,42550041_42550042.01,Bartningallee,Mitte,Hansaviertel,IV,Bartningallee
FB87059D7A544DF2B647D90853DA9184,41550007_41550003.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
7794578925BE443DAA60691BCC70ED96,41550008_41550007.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
BC912FBA1E3F4BE6A59ED6A9E63868DC,41560004_41550008.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
