VZ_VBZ_TYP,NAME,ZAHL_TVZ,VZ_TYP_NO,BERLIN_BEZ,LOR_PRG,alias
110400110,Wiebestraße / Huttenstraße,1,4,1,102,0011
110500120,Westhafen,4,5,1,102,0012
110400130,Quitzowstraße / Lehrter Straße,2,4,1,102,0013
110400210,Beusselstraße / Turmstraße,4,4,1,102,0021
110400220,Seydlitzstraße / Perleberger Straße,5,4,1,102,0022
110400310,Essener Straße / Holstein Ufer,4,4,1,102,0031
110400320,Alt Moabit,2,4,1,102,0032
110100330,Moabiter Werder / Invalidenstraße,2,1,1,102,0033
110100410,Paul-Löbe-Allee / Großer Stern,2,1,1,101,0041
110500910,Müllerstraße / Seestraße,5,5,1,104,0091
110501020,Volkspark Rehberge,3,5,1,104,0102
110501910,Saatwinkler Damm / Heckerdamm,2,5,4,401,0191
110501920,Jakob-Kaiser-Platz,2,5,4,401,0192
110501930,Tegeler Weg / Max-Dohrn-Straße,1,5,4,403,0193
110401940,Gaußstraße / Lise-Meitner-Straße,1,4,4,403,0194
110402030,Tegeler Weg / Schlosspark Charlottenburg,3,4,4,403,0203
110202110,Straße des 17.Juni / Salzufer,2,3,4,403,0211
110402120,Quedlinburger Straße / Darwinstraße,1,4,4,403,0212
110202220,Richard-Wagner-Platz,4,3,4,403,0222
110202310,Technische Universität,4,3,4,403,0231
