CODE,NAME,TYPENO,I_BLN_BZ,I_VZ_NR,SCHLUESSEL,B_NEUE_NR,I_LOR_PRR,I_VBZ122_1,TVZ_881,VBZ_1193,VBZ_TYP_2,VBZ_TYP_3,VBZ_TYP_NO,alias
00111,Wiebestraße / Huttenstraße,2,1,0011,0,1,102,110100112,112,110100112,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100111
00121,An der Putlitzbrücke / Friedrich-Krause-Ufer,3,1,0012,0,0,102,110100121,121,110100121,RestB,Berlin (außerhalb großer Hundekopf),5,110100121
00122,Großmarkt Beusselstraße,3,1,0012,0,1,102,110100111,111,110100111,RestB,Berlin (außerhalb großer Hundekopf),5,110100122
00123,Seestraße / Föhrer Brücke (Föhrer Straße),3,1,0012,0,0,102,110100123,121,110100123,RestB,Berlin (außerhalb großer Hundekopf),5,110100123
00124,An der Putlitzbrücke / Westhafenstraße,3,1,0012,0,0,102,110100124,121,110100123,RestB,Berlin (außerhalb großer Hundekopf),5,110100124
00131,Quitzowstraße / Ellen-Epstein-Straße,2,1,0013,0,0,102,110100131,121,110100121,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100131
00211,Beusselstraße / Huttenstraße,2,1,0021,0,0,102,110100211,211,110100211,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100211
00212,Beusselstraße / Siemensstraße,2,1,0021,0,0,102,110100212,212,110100212,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100212
00213,Turmstraße / Ottostraße,2,1,0021,0,0,102,110100213,213,110100213,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100213
00214,Oldenburger Straße / Wiclefstraße,2,1,0021,0,0,102,110100214,214,110100214,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100214
00222,Turmstraße / Wilsnacker Straße,2,1,0022,0,0,102,110100222,222,110100222,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100222
00223,Stromstraße / Perleberger Straße,2,1,0022,0,0,102,110100223,223,110100223,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100223
00224,Perleberger Straße / Rathenower Straße,2,1,0022,0,0,102,110100224,224,110100224,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100224
00311,Levetzowstraße / Jagowstraße,2,1,0031,0,0,102,110100311,311,110100311,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100311
00312,Essener Straße / Krefelder Straße,2,1,0031,0,0,102,110100312,312,110100312,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100312
00313,Lessingstraße / Holstein Ufer,2,1,0031,0,0,102,110100313,313,110100313,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100313
00314,Altonaer Straße / Bartningallee,2,1,0031,0,0,102,110100314,313,110100314,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100314
00321,Alt Moabit / Kirchstraße,2,1,0032,0,0,102,110100321,322,110100321,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110100321
00331,Moabiter Werder,1,1,0033,0,1,102,110100323,323,110100323,Z,Zentraler Bereich,1,110100331
00412,Großer Stern,1,1,0041,0,0,101,110100412,412,110100412,Z,Zentraler Bereich,1,110100412
00911,Luxemburger Straße / Samoastraße,3,1,0091,0,0,104,110100911,911,110100911,RestB,Berlin (außerhalb großer Hundekopf),5,110100911
01021,Seestraße / Sylter Straße,3,1,0102,0,0,104,110101021,1021,110101021,RestB,Berlin (außerhalb großer Hundekopf),5,110101021
01911,Saatwinkler Damm / Friedrich-Olbrich-Damm,3,4,0191,0,0,401,110401911,1911,110401911,RestB,Berlin (außerhalb großer Hundekopf),5,110401911
01912,Heckerdamm / Saatwinkler Damm,3,4,0191,0,0,401,110401912,1912,110401912,RestB,Berlin (außerhalb großer Hundekopf),5,110401912
01921,Jakob-Kaiser-Platz / Bernhard-Lichtenberg-Straße,3,4,0192,0,0,401,110401921,1921,110401921,RestB,Berlin (außerhalb großer Hundekopf),5,110401921
01922,Heckerdamm / Friedrich-Olbrich-Damm,3,4,0192,0,0,401,110401922,1922,110401923,RestB,Berlin (außerhalb großer Hundekopf),5,110401922
01931,Tegeler Weg / Max-Dohrn-Straße,3,4,0193,0,0,403,110401931,0,110401924,RestB,Berlin (außerhalb großer Hundekopf),5,110401931
01941,Gaußstraße / Lise-Meitner-Straße,2,4,0194,0,1,403,110401932,0,110401922,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110401941
02032,Olbersstraße / Kamminer Straße,2,4,0203,0,0,403,110402032,0,110402022,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110402032
02033,Tegeler Weg / Mindener Straße,2,4,0203,0,0,403,110402033,0,110402023,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110402033
02111,Straße des 17.Juni / Salzufer,1,4,0211,0,1,403,110402113,2113,110402113,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402111
02112,Helmholtzstraße / Salzufer,1,4,0211,0,0,403,110402112,2112,110402112,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402112
02121,Quedlinburger Straße / Darwinstraße,2,4,0212,0,1,403,110402111,2111,110402111,HK,großer Hundekopf (mit Typ 1 & 2 & 3),4,110402121
02221,Bismarckstraße / Krumme Straße,1,4,0222,0,0,403,110402221,2221,110402221,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402221
02222,Richard-Wagner-Platz,1,4,0222,0,0,403,110402222,2222,110402222,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402222
02223,Cauer Straße / Guericke Straße,1,4,0222,0,0,403,110402223,2223,110402223,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402223
02224,Bismarckstraße / Wilmersdorfer Straße,1,4,0222,0,0,403,110402224,2224,110402224,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402224
02311,Technische Universität,1,4,0231,0,0,403,110402311,2311,110402311,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402311
02314,Ernst-Reuter-Platz / Otto-Suhr-Allee,1,4,0231,0,0,403,110402314,2311,110402314,KHK-W,kleiner Hundekopf (mit Typ 1 & 3),2,110402314
