ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
40540001_41540003.01,00005,Abbestraße,V,G,STRA,B,Charlottenburg-Wilmersdorf,Charlottenburg,0,40540001,41540003,182.45,20100101,275EE05309AF45DCA49E046BBA0CBBCC,Abbestraße,
41550003_41550004.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,41550003,41550004,167.7,20100101,468D67F6932C499AB1D911F6A40A2C18,Alt-Moabit,
41550004_41550005.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,41550004,41550005,155.53,20100101,FAD95902F9B640BB8CBFF0D04C309EE7,Alt-Moabit,
41550005_41550006.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,41550005,41550006,153.94,20100101,A5C9A71200AF43F891C60F1E97AE346A,Alt-Moabit,
41550006_42550003.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,41550006,42550003,52.61,20100101,EE1D6C4DED974B71A7176EEF7414E201,Alt-Moabit,
42550003_42550004.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,42550003,42550004,102.56,20100101,2F6655452F244B43B12DAA183729AEF0,Alt-Moabit,
42550004_42550005.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,42550004,42550005,105.48,20100101,0F0134AC983446AC9B3BD782CC5012A5,Alt-Moabit,
42550005_42550006.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,42550005,42550006,114.45,20100101,BAE3BE1B6D734F5F9D7093B0715F7170,Alt-Moabit,
42550006_42550007.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,42550006,42550007,247.72,20100101,B535FE15EBC74B2DA1054BF0D153FA28,Alt-Moabit,
42550007_43550001.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,42550007,43550001,464.61,20100101,E1FA45CDAB354EF4AF06A8BF469EBE81,Alt-Moabit,
43550001_43550002.01,00099,Alt-Moabit,II,G,STRA,B,Mitte,Moabit,0,43550001,43550002,97.03,20100101,631AED78CF884B98A1E3C190DCA91B0C,Alt-Moabit,
42550038_42550037.01,00100,Altonaer Straße,II,G,STRA,B,Mitte,Hansaviertel,0,42550038,42550037,109.9,20100101,73E61421CAA8426DA492385A115CAF5F,Altonaer Straße,
42550037_42540002.01,00100,Altonaer Straße,II,G,STRA,B,Mitte,Hansaviertel,0,42550037,42540002,183.49,20100101,230E0147AFBE444C88559B149CAD82E8,Altonaer Straße,
42540002_42540016.01,00100,Altonaer Straße,II,G,STRA,B,Mitte,Tiergarten,0,42540002,42540016,593.85,20100101,CB3389447425425AAF79E2BECEA5D1CC,Altonaer Straße,
42570002_42570001.01,00295,An der Putlitzbrücke,II,G,STRA,B,Mitte,Moabit,0,42570002,42570001,145.8,20100101,7B0C034F79BC4EBB86A1297B21DF13A1,An der Putlitzbrücke,
42570001_42570003.01,00295,An der Putlitzbrücke,II,G,STRA,B,Mitte,Moabit,0,42570001,42570003,35.39,20100101,831343920A734944B9614A82FCD28036,An der Putlitzbrücke,
42540038_42540003.01,00380,Bachstraße,II,G,STRA,B,Mitte,Hansaviertel,0,42540038,42540003,66.94,20100101,65C36A921EF446D984D314B38410FDCB,Bachstraße,
42540039_42540038.01,00380,Bachstraße,II,G,STRA,B,Charlottenburg-Wilmersdorf,Charlottenburg,0,42540039,42540038,82.54,20100101,65632A480F7B475DA2E5DA672A26FBCF,Bachstraße,
42540003_42540004.01,00380,Bachstraße,II,G,STRA,B,Mitte,Hansaviertel,0,42540003,42540004,157.81,20100101,0F7B312E74B74095B7B9E0B4198C3E7C,Bachstraße,
42540004_42540005.01,00380,Bachstraße,II,G,STRA,B,Mitte,Hansaviertel,0,42540004,42540005,200.68,20100101,A9CD098B2D8C4BECBDEF9302B0F4546C,Bachstraße,
42540005_42550037.01,00380,Bachstraße,II,G,STRA,B,Mitte,Hansaviertel,0,42540005,42550037,154.69,20100101,7A106579644D42AEA010AADA9F18BE35,Bachstraße,
42540002_42550039.01,00427,Bartningallee,IV,G,STRA,B,Mitte,Hansaviertel,0,42540002,42550039,194.45,20100101,35D51C519C1A433DA1E3780AD58FDDF7,Bartningallee,
