SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
42570012_42570008.02,Föhrer Straße,Mitte,Wedding,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00280E/index.htm" TARGET="VMS">Fotos</a>,284.8,nein,01-000654,
42570012_42570008.02,Föhrer Straße,Mitte,Wedding,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002810/index.htm" TARGET="VMS">Fotos</a>,82.5,nein,01-000655,
42570012_42570008.02,Föhrer Straße,Mitte,Wedding,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002812/index.htm" TARGET="VMS">Fotos</a>,146.6,nein,01-000656,
42570008_42570011.02,Föhrer Straße,Mitte,Wedding,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002813/index.htm" TARGET="VMS">Fotos</a>,23.3,nein,01-000657,
42570008_42570011.02,Föhrer Straße,Mitte,Wedding,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002815/index.htm" TARGET="VMS">Fotos</a>,111.5,nein,01-000658,
42570003_42570012.01,Föhrer Brücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00281C/index.htm" TARGET="VMS">Fotos</a>,19,ja,01-000661,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00281D/index.htm" TARGET="VMS">Fotos</a>,25.1,nein,01-000662,
42570003_42570012.01,Föhrer Brücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00281E/index.htm" TARGET="VMS">Fotos</a>,13.9,ja,01-000663,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002820/index.htm" TARGET="VMS">Fotos</a>,22.7,nein,01-000664,
42570012_43570012.02,Nordufer,Mitte,Wedding,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002823/index.htm" TARGET="VMS">Fotos</a>,6.6,nein,01-000665,
41570019_41570001.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x0028FC/index.htm" TARGET="VMS">Fotos</a>,67.1,ja,01-000695,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x0028FD/index.htm" TARGET="VMS">Fotos</a>,18.4,ja,01-000696,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Bussonderfahrstreifen,Bussonderfahrstreifen Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x0028FE/index.htm" TARGET="VMS">Fotos</a>,247,ja,01-000697,
41560008_42570004.01,Zufahrtstraße zum Westhafen,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002901/index.htm" TARGET="VMS">Fotos</a>,26,nein,01-000698,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002903/index.htm" TARGET="VMS">Fotos</a>,20.6,ja,01-000699,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002906/index.htm" TARGET="VMS">Fotos</a>,28,ja,01-000700,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002909/index.htm" TARGET="VMS">Fotos</a>,47.9,ja,01-000701,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Radweg baulich getrennt,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00290B/index.htm" TARGET="VMS">Fotos</a>,31.9,ja,01-000702,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00290D/index.htm" TARGET="VMS">Fotos</a>,21,ja,01-000703,
41570019_41570001.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x00290E/index.htm" TARGET="VMS">Fotos</a>,61.4,ja,01-000704,
41570004_42570013.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A35/index.htm" TARGET="VMS">Fotos</a>,102.8,nein,01-000806,
41570004_42570013.01,Seestraße,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A37/index.htm" TARGET="VMS">Fotos</a>,57.2,nein,01-000807,
42570015_42570014.01,Sylter Straße,Mitte,Wedding,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A44/index.htm" TARGET="VMS">Fotos</a>,342.4,ja,01-000810,
42570015_42570014.01,Sylter Straße,Mitte,Wedding,Radwege,Gehweg mit Radverkehr frei,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A46/index.htm" TARGET="VMS">Fotos</a>,26.9,ja,01-000811,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Gehweg mit Radverkehr frei,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A48/index.htm" TARGET="VMS">Fotos</a>,331.1,nein,01-000812,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A4A/index.htm" TARGET="VMS">Fotos</a>,30,nein,01-000813,
42570014_42570012.01,Nordufer,Mitte,Wedding,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002A4F/index.htm" TARGET="VMS">Fotos</a>,186.7,nein,01-000814,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCA/index.htm" TARGET="VMS">Fotos</a>,23.7,ja,01-000848,
41570001_41560009.01,Beusselstraße,Mitte,Moabit,Bussonderfahrstreifen,Bussonderfahrstreifen Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCC/index.htm" TARGET="VMS">Fotos</a>,244.9,ja,01-000850,
41560009_41560008.01,Beusselstraße,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00002800/0x002BCE/index.htm" TARGET="VMS">Fotos</a>,50.5,ja,01-000852,
