STRNAME,HAUSNR,WOHNLAGE,STADTTEIL,PLR_NAME,alias,HAUSNRZ,LAERMBELAST
Abbestraße,001,mittel,West,Ernst-Reuter-Platz,00005001,,
Abbestraße,002,mittel,West,Ernst-Reuter-Platz,00005002,,
Abbestraße,003,mittel,West,Ernst-Reuter-Platz,00005003,,
Abbestraße,004,mittel,West,Ernst-Reuter-Platz,00005004,,
Abbestraße,005,mittel,West,Ernst-Reuter-Platz,00005005,,
Abbestraße,006,mittel,West,Ernst-Reuter-Platz,00005006,,
Abbestraße,007,mittel,West,Ernst-Reuter-Platz,00005007,,
Abbestraße,008,mittel,West,Ernst-Reuter-Platz,00005008,,
Abbestraße,009,mittel,West,Ernst-Reuter-Platz,00005009,,
Abbestraße,010,mittel,West,Ernst-Reuter-Platz,00005010,,
Abbestraße,011,mittel,West,Ernst-Reuter-Platz,00005011,,
Abbestraße,012,mittel,West,Ernst-Reuter-Platz,00005012,,
Abbestraße,013,mittel,West,Ernst-Reuter-Platz,00005013,,
Abbestraße,015,mittel,West,Ernst-Reuter-Platz,00005015,,
Abbestraße,017,mittel,West,Ernst-Reuter-Platz,00005017,,
Abbestraße,019,mittel,West,Ernst-Reuter-Platz,00005019,,
Agricolastraße,001,mittel,West,Elberfelder Str.,00025001,,
Agricolastraße,002,mittel,West,Elberfelder Str.,00025002,,
Agricolastraße,002,mittel,West,Elberfelder Str.,00025002A,A,
Agricolastraße,003,mittel,West,Elberfelder Str.,00025003,,
Agricolastraße,003,mittel,West,Elberfelder Str.,00025003A,A,
Agricolastraße,004,mittel,West,Elberfelder Str.,00025004,,
Agricolastraße,005,mittel,West,Elberfelder Str.,00025005,,
Agricolastraße,006,mittel,West,Elberfelder Str.,00025006,,
Agricolastraße,007,mittel,West,Elberfelder Str.,00025007,,
Agricolastraße,008,mittel,West,Elberfelder Str.,00025008,,
Agricolastraße,009,mittel,West,Elberfelder Str.,00025009,,
Agricolastraße,010,mittel,West,Elberfelder Str.,00025010,,
Agricolastraße,010,mittel,West,Elberfelder Str.,00025010A,A,
Agricolastraße,010,mittel,West,Elberfelder Str.,00025010B,B,
Agricolastraße,011,mittel,West,Elberfelder Str.,00025011,,
Agricolastraße,013,mittel,West,Elberfelder Str.,00025013,,
Agricolastraße,014,mittel,West,Elberfelder Str.,00025014,,
Agricolastraße,014,mittel,West,Elberfelder Str.,00025014A,A,
Agricolastraße,015,mittel,West,Elberfelder Str.,00025015,,
Agricolastraße,016,mittel,West,Elberfelder Str.,00025016,,
Agricolastraße,017,mittel,West,Elberfelder Str.,00025017,,
Agricolastraße,017,mittel,West,Elberfelder Str.,00025017A,A,
Agricolastraße,018,mittel,West,Elberfelder Str.,00025018,,
Agricolastraße,019,mittel,West,Elberfelder Str.,00025019,,
Agricolastraße,020,mittel,West,Elberfelder Str.,00025020,,
Agricolastraße,021,mittel,West,Elberfelder Str.,00025021,,
Agricolastraße,023,mittel,West,Elberfelder Str.,00025023,,
Agricolastraße,024,mittel,West,Elberfelder Str.,00025024,,
Agricolastraße,025,mittel,West,Elberfelder Str.,00025025,,
Agricolastraße,026,mittel,West,Elberfelder Str.,00025026,,
Agricolastraße,028,mittel,West,Elberfelder Str.,00025028,,
Agricolastraße,029,mittel,West,Elberfelder Str.,00025029,,
Agricolastraße,029,mittel,West,Elberfelder Str.,00025029A,A,
Agricolastraße,030,mittel,West,Elberfelder Str.,00025030,,
Agricolastraße,031,mittel,West,Elberfelder Str.,00025031,,
Agricolastraße,032,mittel,West,Elberfelder Str.,00025032,,
Agricolastraße,033,mittel,West,Elberfelder Str.,00025033,,
Agricolastraße,033,mittel,West,Elberfelder Str.,00025033A,A,
Alt-Lietzow,001,mittel,West,Alt-Lietzow,00094001,,
Alt-Lietzow,002,mittel,West,Alt-Lietzow,00094002,,Ja
Alt-Lietzow,003,mittel,West,Alt-Lietzow,00094003,,
Alt-Lietzow,005,mittel,West,Alt-Lietzow,00094005,,
Alt-Lietzow,007,mittel,West,Alt-Lietzow,00094007,,
Alt-Lietzow,011,mittel,West,Alt-Lietzow,00094011,,
Alt-Lietzow,012,mittel,West,Alt-Lietzow,00094012,,
Alt-Lietzow,015,mittel,West,Alt-Lietzow,00094015,,
Alt-Lietzow,016,mittel,West,Alt-Lietzow,00094016,,
Alt-Lietzow,018,mittel,West,Alt-Lietzow,00094018,,
Alt-Lietzow,019,mittel,West,Alt-Lietzow,00094019,,
Alt-Lietzow,020,mittel,West,Alt-Lietzow,00094020,,
Alt-Lietzow,021,mittel,West,Alt-Lietzow,00094021,,
Alt-Lietzow,022,mittel,West,Alt-Lietzow,00094022,,
Alt-Lietzow,023,mittel,West,Alt-Lietzow,00094023,,
Alt-Lietzow,025,mittel,West,Alt-Lietzow,00094025,,
Alt-Lietzow,027,mittel,West,Alt-Lietzow,00094027,,
Alt-Lietzow,028,mittel,West,Alt-Lietzow,00094028,,
Alt-Lietzow,029,mittel,West,Alt-Lietzow,00094029,,
Alt-Lietzow,030,mittel,West,Alt-Lietzow,00094030,,
Alt-Lietzow,031,mittel,West,Alt-Lietzow,00094031,,
Alt-Lietzow,033,mittel,West,Alt-Lietzow,00094033,,
Alt-Lietzow,035,mittel,West,Alt-Lietzow,00094035,,
Alt-Lietzow,037,mittel,West,Alt-Lietzow,00094037,,
Alt-Lietzow,039,mittel,West,Alt-Lietzow,00094039,,
Alt-Lietzow,044,mittel,West,Alt-Lietzow,00094044,,
Alt-Moabit,025,gut,West,Thomasiusstr.,00099025,,Ja
Alt-Moabit,034,einfach,West,Zwinglistr.,00099034,,Ja
Alt-Moabit,035,einfach,West,Zwinglistr.,00099035,,Ja
Alt-Moabit,036,einfach,West,Zwinglistr.,00099036,,Ja
Alt-Moabit,037,einfach,West,Zwinglistr.,00099037,,Ja
Alt-Moabit,038,einfach,West,Zwinglistr.,00099038,,Ja
Alt-Moabit,039,einfach,West,Zwinglistr.,00099039,,Ja
Alt-Moabit,040,einfach,West,Zwinglistr.,00099040,,Ja
Alt-Moabit,041,einfach,West,Zwinglistr.,00099041,,Ja
Alt-Moabit,042,einfach,West,Zwinglistr.,00099042,,Ja
Alt-Moabit,043,einfach,West,Zwinglistr.,00099043,,Ja
Alt-Moabit,044,einfach,West,Zwinglistr.,00099044,,Ja
Alt-Moabit,045,einfach,West,Zwinglistr.,00099045,,Ja
Alt-Moabit,046,einfach,West,Zwinglistr.,00099046,,Ja
