BEZNAME,PLZ,STRASSE,ADR,WOL,STADTTEIL,PLR_NAME,alias,LAERM
Charlottenburg-Wilmersdorf,10587,Abbestraße,001,mittel,West,Ernst-Reuter-Platz,00005001,
Charlottenburg-Wilmersdorf,10587,Abbestraße,002,mittel,West,Ernst-Reuter-Platz,00005002,
Charlottenburg-Wilmersdorf,10587,Abbestraße,003,mittel,West,Ernst-Reuter-Platz,00005003,
Charlottenburg-Wilmersdorf,10587,Abbestraße,004,mittel,West,Ernst-Reuter-Platz,00005004,
Charlottenburg-Wilmersdorf,10587,Abbestraße,005,mittel,West,Ernst-Reuter-Platz,00005005,
Charlottenburg-Wilmersdorf,10587,Abbestraße,006,mittel,West,Ernst-Reuter-Platz,00005006,
Charlottenburg-Wilmersdorf,10587,Abbestraße,007,mittel,West,Ernst-Reuter-Platz,00005007,
Charlottenburg-Wilmersdorf,10587,Abbestraße,008,mittel,West,Ernst-Reuter-Platz,00005008,
Charlottenburg-Wilmersdorf,10587,Abbestraße,009,mittel,West,Ernst-Reuter-Platz,00005009,
Charlottenburg-Wilmersdorf,10587,Abbestraße,010,mittel,West,Ernst-Reuter-Platz,00005010,
Charlottenburg-Wilmersdorf,10587,Abbestraße,011,mittel,West,Ernst-Reuter-Platz,00005011,
Charlottenburg-Wilmersdorf,10587,Abbestraße,012,mittel,West,Ernst-Reuter-Platz,00005012,
Charlottenburg-Wilmersdorf,10587,Abbestraße,013,mittel,West,Ernst-Reuter-Platz,00005013,
Charlottenburg-Wilmersdorf,10587,Abbestraße,015,mittel,West,Ernst-Reuter-Platz,00005015,
Charlottenburg-Wilmersdorf,10587,Abbestraße,017,mittel,West,Ernst-Reuter-Platz,00005017,
Charlottenburg-Wilmersdorf,10587,Abbestraße,019,mittel,West,Ernst-Reuter-Platz,00005019,
Mitte,10555,Agricolastraße,001,mittel,West,Elberfelder Str.,00025001,
Mitte,10555,Agricolastraße,002,mittel,West,Elberfelder Str.,00025002,
Mitte,10555,Agricolastraße,002A,mittel,West,Elberfelder Str.,00025002A,
Mitte,10555,Agricolastraße,003,mittel,West,Elberfelder Str.,00025003,
Mitte,10555,Agricolastraße,003A,mittel,West,Elberfelder Str.,00025003A,
Mitte,10555,Agricolastraße,004,mittel,West,Elberfelder Str.,00025004,
Mitte,10555,Agricolastraße,005,mittel,West,Elberfelder Str.,00025005,
Mitte,10555,Agricolastraße,006,mittel,West,Elberfelder Str.,00025006,
Mitte,10555,Agricolastraße,007,mittel,West,Elberfelder Str.,00025007,
Mitte,10555,Agricolastraße,008,mittel,West,Elberfelder Str.,00025008,
Mitte,10555,Agricolastraße,009,mittel,West,Elberfelder Str.,00025009,
Mitte,10555,Agricolastraße,010,mittel,West,Elberfelder Str.,00025010,
Mitte,10555,Agricolastraße,010A,mittel,West,Elberfelder Str.,00025010A,
Mitte,10555,Agricolastraße,010B,mittel,West,Elberfelder Str.,00025010B,
Mitte,10555,Agricolastraße,011,mittel,West,Elberfelder Str.,00025011,
Mitte,10555,Agricolastraße,013,mittel,West,Elberfelder Str.,00025013,
Mitte,10555,Agricolastraße,014,mittel,West,Elberfelder Str.,00025014,
Mitte,10555,Agricolastraße,014A,mittel,West,Elberfelder Str.,00025014A,
Mitte,10555,Agricolastraße,015,mittel,West,Elberfelder Str.,00025015,
Mitte,10555,Agricolastraße,016,mittel,West,Elberfelder Str.,00025016,
Mitte,10555,Agricolastraße,017,mittel,West,Elberfelder Str.,00025017,
Mitte,10555,Agricolastraße,017A,mittel,West,Elberfelder Str.,00025017A,
Mitte,10555,Agricolastraße,018,mittel,West,Elberfelder Str.,00025018,
Mitte,10555,Agricolastraße,019,mittel,West,Elberfelder Str.,00025019,
Mitte,10555,Agricolastraße,020,mittel,West,Elberfelder Str.,00025020,
Mitte,10555,Agricolastraße,021,mittel,West,Elberfelder Str.,00025021,
Mitte,10555,Agricolastraße,023,mittel,West,Elberfelder Str.,00025023,
Mitte,10555,Agricolastraße,024,mittel,West,Elberfelder Str.,00025024,
Mitte,10555,Agricolastraße,025,mittel,West,Elberfelder Str.,00025025,
Mitte,10555,Agricolastraße,026,mittel,West,Elberfelder Str.,00025026,
Mitte,10555,Agricolastraße,028,mittel,West,Elberfelder Str.,00025028,
Mitte,10555,Agricolastraße,029,mittel,West,Elberfelder Str.,00025029,
Mitte,10555,Agricolastraße,029A,mittel,West,Elberfelder Str.,00025029A,
Mitte,10555,Agricolastraße,030,mittel,West,Elberfelder Str.,00025030,
Mitte,10555,Agricolastraße,031,mittel,West,Elberfelder Str.,00025031,
Mitte,10555,Agricolastraße,032,mittel,West,Elberfelder Str.,00025032,
Mitte,10555,Agricolastraße,033,mittel,West,Elberfelder Str.,00025033,
Mitte,10555,Agricolastraße,033A,mittel,West,Elberfelder Str.,00025033A,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,001,mittel,West,Alt-Lietzow,00094001,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,002,mittel,West,Alt-Lietzow,00094002,Ja
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,003,mittel,West,Alt-Lietzow,00094003,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,005,mittel,West,Alt-Lietzow,00094005,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,007,mittel,West,Alt-Lietzow,00094007,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,011,mittel,West,Alt-Lietzow,00094011,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,012,mittel,West,Alt-Lietzow,00094012,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,015,mittel,West,Alt-Lietzow,00094015,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,016,mittel,West,Alt-Lietzow,00094016,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,018,mittel,West,Alt-Lietzow,00094018,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,019,mittel,West,Alt-Lietzow,00094019,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,020,mittel,West,Alt-Lietzow,00094020,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,021,mittel,West,Alt-Lietzow,00094021,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,022,mittel,West,Alt-Lietzow,00094022,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,023,mittel,West,Alt-Lietzow,00094023,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,025,mittel,West,Alt-Lietzow,00094025,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,027,mittel,West,Alt-Lietzow,00094027,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,028,mittel,West,Alt-Lietzow,00094028,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,029,mittel,West,Alt-Lietzow,00094029,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,030,mittel,West,Alt-Lietzow,00094030,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,031,mittel,West,Alt-Lietzow,00094031,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,033,mittel,West,Alt-Lietzow,00094033,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,035,mittel,West,Alt-Lietzow,00094035,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,037,mittel,West,Alt-Lietzow,00094037,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,039,mittel,West,Alt-Lietzow,00094039,
Charlottenburg-Wilmersdorf,10587,Alt-Lietzow,044,mittel,West,Alt-Lietzow,00094044,
Mitte,10559,Alt-Moabit,025,gut,West,Thomasiusstr.,00099025,Ja
Mitte,10555,Alt-Moabit,034,einfach,West,Zwinglistr.,00099034,Ja
Mitte,10555,Alt-Moabit,035,einfach,West,Zwinglistr.,00099035,Ja
Mitte,10555,Alt-Moabit,036,einfach,West,Zwinglistr.,00099036,Ja
Mitte,10555,Alt-Moabit,037,einfach,West,Zwinglistr.,00099037,Ja
Mitte,10555,Alt-Moabit,038,einfach,West,Zwinglistr.,00099038,Ja
Mitte,10555,Alt-Moabit,039,einfach,West,Zwinglistr.,00099039,Ja
Mitte,10555,Alt-Moabit,040,einfach,West,Zwinglistr.,00099040,Ja
Mitte,10555,Alt-Moabit,041,einfach,West,Zwinglistr.,00099041,Ja
Mitte,10555,Alt-Moabit,042,einfach,West,Zwinglistr.,00099042,Ja
Mitte,10555,Alt-Moabit,043,einfach,West,Zwinglistr.,00099043,Ja
Mitte,10555,Alt-Moabit,044,einfach,West,Zwinglistr.,00099044,Ja
Mitte,10555,Alt-Moabit,045,einfach,West,Zwinglistr.,00099045,Ja
Mitte,10555,Alt-Moabit,046,einfach,West,Zwinglistr.,00099046,Ja
Mitte,10555,Alt-Moabit,047,einfach,West,Zwinglistr.,00099047,Ja
Mitte,10555,Alt-Moabit,048,einfach,West,Zwinglistr.,00099048,Ja
Mitte,10555,Alt-Moabit,049,einfach,West,Zwinglistr.,00099049,Ja
Mitte,10555,Alt-Moabit,050,einfach,West,Zwinglistr.,00099050,Ja
Mitte,10555,Alt-Moabit,051,einfach,West,Zwinglistr.,00099051,Ja
Mitte,10555,Alt-Moabit,052,einfach,West,Zwinglistr.,00099052,Ja
Mitte,10555,Alt-Moabit,053,einfach,West,Zwinglistr.,00099053,Ja
Mitte,10555,Alt-Moabit,054,einfach,West,Zwinglistr.,00099054,Ja
Mitte,10555,Alt-Moabit,055,einfach,West,Zwinglistr.,00099055,Ja
Mitte,10555,Alt-Moabit,055A,einfach,West,Zwinglistr.,00099055A,
Mitte,10555,Alt-Moabit,055B,einfach,West,Zwinglistr.,00099055B,
Mitte,10555,Alt-Moabit,055C,einfach,West,Zwinglistr.,00099055C,
Mitte,10555,Alt-Moabit,055D,einfach,West,Zwinglistr.,00099055D,
Mitte,10555,Alt-Moabit,055E,einfach,West,Zwinglistr.,00099055E,
Mitte,10555,Alt-Moabit,056,einfach,West,Zwinglistr.,00099056,Ja
Mitte,10555,Alt-Moabit,056A,einfach,West,Zwinglistr.,00099056A,
Mitte,10555,Alt-Moabit,056B,einfach,West,Zwinglistr.,00099056B,
Mitte,10555,Alt-Moabit,056C,einfach,West,Zwinglistr.,00099056C,
Mitte,10555,Alt-Moabit,056D,einfach,West,Zwinglistr.,00099056D,
Mitte,10555,Alt-Moabit,057,einfach,West,Zwinglistr.,00099057,Ja
Mitte,10555,Alt-Moabit,058,einfach,West,Zwinglistr.,00099058,Ja
Mitte,10555,Alt-Moabit,059,einfach,West,Huttenkiez,00099059,Ja
Mitte,10555,Alt-Moabit,060,einfach,West,Huttenkiez,00099060,Ja
Mitte,10555,Alt-Moabit,060A,einfach,West,Huttenkiez,00099060A,
Mitte,10555,Alt-Moabit,061,einfach,West,Huttenkiez,00099061,Ja
