Category	id	preview	title
Basiskarten/Luftbilder	lod1	kvor_lod1.gif	3D-Gebäudemodelle im Level of Detail 1 (LoD 1)
Basiskarten/Luftbilder	k_rbsadressen	kvor_rbsadressen.gif	Adressen Regionales Bezugssystem Berlin
Basiskarten/Luftbilder	wmsk_alkis	kvor_alkipng	ALKIS Berlin
Basiskarten/Luftbilder	wmsk_alkis_sw	kvor_alkis_sw.png	ALKIS Berlin s/w
Basiskarten/Luftbilder	wmsk_atkis	kvor_atkis_basis_dlm.gif	ATKIS&reg; Basis-DLM - Präsentationsmodell
Basiskarten/Luftbilder	k_dgm5	kvor_dgm5.gif	ATKIS&reg; DGM - Digitales Geländemodell
Basiskarten/Luftbilder	k_festpunkte	kvor_festpunkte.gif	Auswahl geschützter Festpunkte von Berlin
Basiskarten/Luftbilder	berlinzoom	karte_berlinzoom.gif	Berlin-Zoom
Basiskarten/Luftbilder	blatt	kvor_blatt.gif	Blatteinteilung der Landeskartenwerke
Basiskarten/Luftbilder	ISU5	karte_isu5.gif	Blockkarte 1:5000 (ISU5)
Basiskarten/Luftbilder	TK10_BHB	kvor_tk10_bhb.gif	Bundeshauptstadt Berlin
Basiskarten/Luftbilder	k_luftbild2010_cir	kvor_luftbild2010_cir.gif	Digitale Color-Infrarot-Orthophotos 2010 (DOP20CIR)
Basiskarten/Luftbilder	k_luftbild2015_cir	kvor_luftbild2015_cir.jpg	Digitale Color-Infrarot-Orthophotos 2015 (DOP20CIR)
Basiskarten/Luftbilder	luftbild2004	kvor_luftbild2004.gif	Digitale farbige Orthophotos 2004 (DOP25RGB)
Basiskarten/Luftbilder	k_luftbild2007	kvor_luftbild2007.gif	Digitale farbige Orthophotos 2007 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2009_20	kvor_luftbild2009.gif	Digitale farbige Orthophotos 2009 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2010_rgb	kvor_luftbild2010_rgb.gif	Digitale farbige Orthophotos 2010 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2011_20	kvor_luftbild2011.gif	Digitale farbige Orthophotos 2011 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2014	kvor_luftbild2014.gif	Digitale farbige Orthophotos 2014 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2015_rgb	kvor_luftbild2015_rgb.jpg	Digitale farbige Orthophotos 2015 (DOP20RGB)
Basiskarten/Luftbilder	k_luftbild2002	kvor_luftbild2002.gif	Digitale Schwarz-Weiß-Orthophotos 2002 (DOP40PAN)
Basiskarten/Luftbilder	luftbild2006	kvor_luftbild2006.gif	Digitale Schwarz-Weiß-Orthophotos 2006 (DOP15PAN)
Basiskarten/Luftbilder	k_dtk10	kvor_dtk10.gif	Digitale Topographische Karte 1: 10 000 (DTK10)
Basiskarten/Luftbilder	k_dtk100	kvor_dtk100.gif	Digitale Topographische Karte 1: 100 000 (DTK100)
Basiskarten/Luftbilder	k_dtk25	kvor_dtk25.gif	Digitale Topographische Karte 1: 25 000 (DTK25)
Basiskarten/Luftbilder	k_dtk50	kvor_dtk50.gif	Digitale Topographische Karte 1: 50 000 (DTK50)
Basiskarten/Luftbilder	efre	karte_efre.gif	EFRE - Zielgebiete 2000 bis 2006
Basiskarten/Luftbilder	k_hauskoordinaten	kvor_hauskoordinaten.gif	Hauskoordinaten Berlin
Basiskarten/Luftbilder	wmsk_hausumringe	kvor_hausumringe.gif	Hausumringe Berlin
Basiskarten/Luftbilder	k5	kvor_k5_8bit.gif	Karte von Berlin 1:5000 (K5)
Basiskarten/Luftbilder	k5_farbe	kvor_k5_f.gif	Karte von Berlin 1:5000 (K5-Farbausgabe)
Basiskarten/Luftbilder	k5_sw	kvor_k5_sw.gif	Karte von Berlin 1:5000 (K5-SW-Ausgabe)
Basiskarten/Luftbilder	lor_bez	kvor_lor_bez.gif	Lebensweltlich orientierte Räume (LOR) - Bezirksregionen
Basiskarten/Luftbilder	lor_plan	kvor_lor_plan.gif	Lebensweltlich orientierte Räume (LOR) - Planungsräume
Basiskarten/Luftbilder	lor_prog	kvor_lor_prog.gif	Lebensweltlich orientierte Räume (LOR) - Prognoseräume
Basiskarten/Luftbilder	k_lod2	kvor_lod2.gif	LoD2 Gebäudemodell Berlin
Basiskarten/Luftbilder	k_luftbild1928	luftbilder/kvor_luftbild1928.gif	Luftbilder 1928 (Maßstab 1:4 000)
Basiskarten/Luftbilder	k_luftbild1938	luftbilder/kvor_luftbild1938.jpg	Luftbilder 1938 (Maßstab 1.4 000)
Basiskarten/Luftbilder	k_luftbild1953	luftbilder/kvor_luftbild1953.jpg	Luftbilder 1953 (Maßstab 1:22 000)
Basiskarten/Luftbilder	k_luftbild1954	luftbilder/kvor_luftbild1954.jpg	Luftbilder 1954 (Maßstab 1:8 000)
Basiskarten/Luftbilder	k_luftbild1956	luftbilder/kvor_luftbild1956.jpg	Luftbilder 1956 (Maßstab 1:8 000)
Basiskarten/Luftbilder	k_luftbild1959_1	luftbilder/kvor_luftbild1959_10.jpg	Luftbilder 1959 (Maßstab 1:10 800)
