Adressen Regionales Bezugssystem Berlin	?id=re_rbsadressen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Bauwerke	?id=re_alkis_bauwerke@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Bauwerke (Linien)	?id=re_alkis_bauwerkelinien@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Besondere Flurstücksgrenzen	?id=re_alkis_besondereflurstuecksgrenzen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Festlegungen	?id=re_alkis_festlegungen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Flurstücke	?id=re_alkis_flurstuecke@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Gebäude	?id=re_alkis_gebaeude@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Gebäude (Linien)	?id=re_alkis_gebaeudelinien@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Gewässer- und Vegetationsflächen	?id=re_alkis_gewaesserundvegetationsflaechen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Ortsteile	?id=re_alkis_ortsteile@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Relief	?id=re_alkis_reliefflaechen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Relief (Linien)	?id=re_alkis_relief@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Tatsächliche Nutzung	?id=re_alkis_tatsaechlichenutzungflaechen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Vegetation (Linien)	?id=re_alkis_vegetationlinien@senstadt&type=WFS&themeType=spatial&showCapUrl=true
ALKIS Berlin Vegetation (Punkte)	?id=re_alkis_vegetationpunkte@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Aufgrabeverbote in Berlin	?id=re_aufgrabeverbote@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Auswahl geschützter Festpunkte von Berlin	?id=re_festpunkte@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Baumbestand Berlin - Anlagenbäume	?id=re_anlagenbaeume@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Baumbestand Berlin - Straßenbäume	?id=re_strassenbaeume@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bebauungspläne, Geltungsbereiche	?id=re_bplan@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Begräbnisorte der Opfer von Krieg und Gewaltherrschaft	?id=re_okg@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bezirke von Berlin	?id=re_bezirke@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Blöcke 1 : 5.000	?id=re_isu5@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodengesellschaften 2005 (Umweltatlas)	?id=re_01_01boges2005@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2002	?id=re_brw2002@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2003	?id=re_brw2003@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2004	?id=re_brw2004@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2005	?id=re_brw2005@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2006	?id=re_brw2006@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2007	?id=re_brw2007@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2008	?id=re_brw2008@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2009	?id=re_brw2009@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2010	?id=re_brw2010@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2011	?id=re_brw2011@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2012	?id=re_brw2012@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2013	?id=re_brw2013@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2014	?id=re_brw2014@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2015	?id=re_brw2015@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Bodenrichtwerte 01.01.2016	?id=re_brw2016@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Detailnetz - Bauwerke	?id=re_vms_detailnetz_bw@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Detailnetz - Straßenabschnitte	?id=re_vms_detailnetz_str@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Detailnetz - Verbindungspunkte	?id=re_vms_detailnetz_verbind@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Einwohnerdichte 2013	?id=re_einwohnerdichte2013@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Einwohnerdichte 2014	?id=re_einwohnerdichte2014@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Emissionswerte NOx, PM10, PM2.5, SO2 1989 bis 2009 (Umweltatlas)	?id=re_emiss_alle_1989_2009@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Entsiegelungspotenziale (Umweltatlas)	?id=re_entsiegelungspotentiale@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Entwicklungsbereiche, festgelegt	?id=re_entwickbereiche@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Erhaltungssatzungsgebiete § 172 BauGB	?id=re_erhaltgeb@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Fischfauna 2013	?id=re02_08fisch2013@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Flächennutzung, Stadtstruktur 2010 und Versiegelung 2011 (Umweltatlas)	?id=re_nutz2010_nutzsa@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Flächennutzung, Stadtstruktur und Versiegelung 2001 (Umweltatlas)	?id=re_nutz2001_nutzsa@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Flächennutzung, Stadtstruktur und Versiegelung 2005 (Umweltatlas)	?id=re_nutz2005_nutzsa@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Flurabstand des Grundwassers 2009 differenziert (Umweltatlas)	?id=re_02_07flurab2009@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Förderkulisse Aktive Zentren	?id=re_aktive_stadt@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Friedhofsbestand Berlin	?id=re_friedh@senstadt&type=WFS&themeType=spatial&showCapUrl=true
Genehmigungsbedürftige Anlagen nach § 4 BImSchG 2014 (Umweltatlas)	?id=re_gen_anlagen@senstadt&type=WFS&themeType=spatial&showCapUrl=true
